reviews_count,postal_code,general_info,category,locality,breadcrumbs,average_rating,latitude,email,website,years_in_business,full_address,phone,payment_mode,price_range,geo,gallery,name,url,country,region,longitude,scraped_at,opening_hours,aka,street_address
,85051,,Health & Fitness Program Consultants/Massage Therapists/Physical Therapists/Health & Fitness Program Consultants/Massage Therapists/Physical Therapists/Psychologists/Yoga Instruction,Phoenix,Home/AZ/Phoenix/Fitness Trainers/Health & Fitness Coaches/Therapeutic Massage,,33.55973,ski_balls@hotmail.com,,,"PostalAddress, US, 3307 W Echo Ln, Phoenix, AZ, 85051",(602) 638-8350,"cash, financing available, paypal",,latitude: 33.55973 | longitude: -112.13143,,Therapeutic Massage,https://www.yellowpages.com/phoenix-az/mip/therapeutic-massage-497737212,US,AZ,-112.13143,2021-11-20 03:15:01,Mo-Fr 08:00-19:00 | Sa 11:00-18:00 | Su 11:00-17:00,,3307 W Echo Ln
,32803,"We are certified notary signing agents who can complete any type of loan document signing in a professional, friendly, and accurate manner working along the side of title companies, realtors, mortgage brokers, lenders and signing agencies. Our experience provides us the ability to complete the task from beginning to end efficiently with close communication with you. Ultimate goal is to obtain a smooth work flow for everyone involved. We can assist you with any other services such as notarizing quit claim deeds, power of attorney, wills, and/or preparation of notarized letters. We also officiate weddings and much more “At Your Doorstep” for your convenience.",Notaries Public/Hospitals/Real Estate Loan Processing/Notaries Public/Hospitals/Real Estate Loan Processing,Orlando,Home/FL/Orlando/Notaries Public/Burgos Notary Services,,28.55979,alice@burgonotaryservices.com,http://www.burgosnotaryservices.com,9.0,"PostalAddress, US, 1060 Woodcock Rd, Orlando, FL, 32803",(407) 733-2319,"mastercard, paypal, amex, discover, master card, visa, all major credit cards, debit",,latitude: 28.55979 | longitude: -81.34428,,Burgos Notary Services,https://www.yellowpages.com/orlando-fl/mip/burgos-notary-services-525847998,US,FL,-81.34428,2021-11-20 03:15:22,Mo-Fr 09:00-17:00,,1060 Woodcock Rd
,76028,"Huguley Memorial Medical Center, a Seventh-day Adventist operated facility located on I-35W in south Fort Worth, includes a 213-bed acute care hospital, doctors' surgery center, hospice house, behavioral health center and fitness center. More than 300 primary care and specialty physicians provide a wide range of inpatient and outpatient services. The Mobile Health Services Bus provides complete examinations and other health-care services throughout Tarrant and Johnson counties.",Exercise & Physical Fitness Programs/Gymnasiums/Health Clubs/Exercise & Physical Fitness Programs/Gymnasiums/Health Clubs/Physical Fitness Consultants & Trainers/Physical Therapists,Burleson,Home/TX/Burleson/Workout Programs/Huguley Memorial Medical Center,,32.58682,huguley-admin@ahss.org,http://www.huguleyfitnesscenter.com,,"PostalAddress, US, 11801 South Fwy, Burleson, TX, 76028",(817) 568-3131,,,latitude: 32.58682 | longitude: -97.31694,,Huguley Memorial Medical Center,https://www.yellowpages.com/burleson-tx/mip/huguley-memorial-medical-center-481111169,US,TX,-97.31694,2021-11-20 03:15:55,Mo-Su,Huguley Fitness Ctr~Texas Health Huguley Hospital Fort Worth South~Texas Huguley Fitness Center~Huguley Fitness Center,11801 South Fwy
,33134,"At Modern Health of America, our doctors take pride in over 17 years in experience in hormone replacement therapy and other wellness treatments. Our satisfied clients love the method we use because it allows them to explain their particular symptoms, which in turn lets us provide them with a solution personally catered to their condition. No two individuals are exactly alike, so we take the time to get to know you and your individual needs.","Health & Wellness Products/Medical Centers/Physicians & Surgeons, Pediatrics-Endocrinology/Health & Wellness Products/Medical Centers/Physicians & Surgeons, Pediatrics-Endocrinology",Miami,Home/FL/Miami/Health Products/Modern Health of America,,25.75541,info@modernhealthofamerica.com,https://modernhealthofamerica.com,,"PostalAddress, US, 1825 Ponce De Leon Suite #473, Miami, FL, 33134",(305) 712-6985,"all major credit cards, cash, check",,latitude: 25.75541 | longitude: -80.25858,https://i3.ypcdn.com/blob/1aff3f2c1518a27456a7c17059f4f887940a6ece_400x260_crop.jpg,Modern Health of America,https://www.yellowpages.com/miami-fl/mip/modern-health-of-america-555992968,US,FL,-80.25858,2021-11-20 03:16:55,Mo-Fr 09:00-17:00,,1825 Ponce De Leon Suite #473
,79912,"Services include Botox/Xeomin, Dermal fillers, Laser Hair and Tattoo removal, Laser Skin Rejuvenation, Sclero therapy, Photo facials, Microdermabrasion, Facials, Dermal Kinetics, and skin tightening treatments, Skin tag removal, vitamin injections and more!","Physicians & Surgeons, Dermatology/Beauty Salons/Beauty Supplies & Equipment/Physicians & Surgeons, Dermatology/Beauty Salons/Beauty Supplies & Equipment/Clinics/Cosmetic Services/Cosmetics & Perfumes/Day Spas/Hair Removal/Health Resorts/Medical Centers/Medical Clinics/Medical Spas/Physicians & Surgeons, Laser Surgery/Skin Care",El Paso,Home/TX/El Paso/Doctors/Dermatologists/Azul Medspa,,31.83987,medspa.west@gmail.com,http://www.azul-medspa.com,3.0,"PostalAddress, US, 7300 Remcon Cir, El Paso, TX, 79912",(915) 584-2985,,,latitude: 31.83987 | longitude: -106.56621,,Azul Medspa,https://www.yellowpages.com/el-paso-tx/mip/azul-medspa-547796127?lid=1002031642272,US,TX,-106.56621,2021-11-20 03:17:06,,,7300 Remcon Cir
,32073,"Serving Orange Park for over 15 years, Dr. Orlando's chiropractic team treats and relieves pain from back, neck, spine, auto accident and sports injuries. Start feeling better today!",Massage Therapists/Chiropractors & Chiropractic Services/Pain Management/Massage Therapists/Chiropractors & Chiropractic Services/Pain Management/Physical Therapists/Physical Therapy Clinics,Orange Park,Home/FL/Orange Park/Massage Services/Massage Therapists/North Florida Chiropractic Physical Therapy,,30.17562,drorlando1@gmail.com,http://www.northfloridachiropracticphysicaltherapy.com,22.0,"PostalAddress, US, 223 Blanding Blvd, Orange Park, FL, 32073",(904) 272-4329,"debit, check, paypal, cash, all major credit cards, financing available",,latitude: 30.17562 | longitude: -81.74396,https://i3.ypcdn.com/blob/8998f74d56ee383171037cd7ec0d4915dab8d828_400x260_crop.jpg~https://i1.ypcdn.com/blob/8172d8f2b78d520abda47b6fa9e63b9d05a6e7ea_240x170_crop.jpg~https://i4.ypcdn.com/blob/6df48dd1eecab8d152a681cb80774dea52fc5dcc_115x80_crop.jpg~https://i4.ypcdn.com/blob/e43add0f2a5464595569c0cb66d5b5e1ead4aa87_115x80_crop.jpg,North Florida Chiropractic Physical Therapy,https://www.yellowpages.com/orange-park-fl/mip/north-florida-chiropractic-physical-therapy-504741739,US,FL,-81.74396,2021-11-20 03:17:35,Mo-Fr 09:00-20:00 | Sa 09:00-14:00,NFCPT,223 Blanding Blvd
,33144,Lymphatic Drainage Massage Post-Surgery and Fibrosis after liposuction treatment Experts with 29 years of experience in this field.,Massage Therapists/Beauty Salons/Day Spas/Massage Therapists/Beauty Salons/Day Spas/Medical Spas/Physical Therapy Clinics,Miami,Home/FL/Miami/Massage Services/Massage Therapists/Medical Massage Professionals - Lymphatic Drainage Massage and Fibrosis Experts,,25.76132,miamimedicalmassage@gmail.com,http://www.medicalmassageprofessionals.com,5.0,"PostalAddress, US, 8380 SW 8th St, Miami, FL, 33144",(786) 488-8805,"paypal, visa, mastercard, all major credit cards",,latitude: 25.76132 | longitude: -80.33131,https://i2.ypcdn.com/blob/6bf2c03b9a4488e7c5f05631f63b6537d126980c_400x260_crop.jpg~https://i4.ypcdn.com/blob/50f9445b98c6433c5c43f152cb323f4a2822cc07_240x170_crop.jpg~https://i4.ypcdn.com/blob/44d78f54aa8ffa6b10b377120e507379fb498c71_115x80_crop.jpg~https://i4.ypcdn.com/blob/1511c24465cb299b157b5b04bab256baba8bd763_115x80_crop.jpg,Medical Massage Professionals - Lymphatic Drainage Massage and Fibrosis Experts,https://www.yellowpages.com/miami-fl/mip/medical-massage-professionals-lymphatic-drainage-massage-and-fibrosis-experts-534642122,US,FL,-80.33131,2021-11-20 03:19:16,Mo-Su 10:00-18:00,,8380 SW 8th St
,46260,,Health Clubs/Exercise & Physical Fitness Programs/Health & Fitness Program Consultants/Health Clubs/Exercise & Physical Fitness Programs/Health & Fitness Program Consultants/Personal Fitness Trainers/Physical Therapists,Indianapolis,Home/IN/Indianapolis/Health Resorts/Health Clubs/BODY by PRICE,,39.90565,kp042@hotmail.com,,,"PostalAddress, US, 8267 Harcourt Rd, Indianapolis, IN, 46260",(317) 608-9245,,,latitude: 39.90565 | longitude: -86.19386,,BODY by PRICE,https://www.yellowpages.com/indianapolis-in/mip/body-by-price-475534904,US,IN,-86.19386,2021-11-20 03:19:47,,,8267 Harcourt Rd
,48135,"Prestige Eyewear is the premier provider of children' eyewear as well as designs for the entire family. We carry a great selection of basic and designer eyewear for the whole family, and have packaged many to give you value-added pricing.",Optical Goods/Eyeglasses/Optical Goods Repair/Optical Goods/Eyeglasses/Optical Goods Repair/Opticians/Optometrists,Garden City,Home/MI/Garden City/Optical Goods/Prestige Eyewear,,42.32632,opal@prestigeeyewear.comcastbiz.net,,41.0,"PostalAddress, US, 27854 Ford Rd, Garden City, MI, 48135",(734) 525-1145,"insurance, visa, master card, discover, financing available",,latitude: 42.32632 | longitude: -83.31725,,Prestige Eyewear,https://www.yellowpages.com/garden-city-mi/mip/prestige-eyewear-7184284,US,MI,-83.31725,2021-11-20 03:20:06,Tu-Fr 10:00-18:00 | Sa 10:00-14:00,,27854 Ford Rd
,90048," 
",Optical Goods/Contact Lenses/Eyeglasses/Optical Goods/Contact Lenses/Eyeglasses/Optical Goods Repair/Opticians/Optometrists/Optometry Equipment & Supplies/Sunglasses,Los Angeles,Home/CA/Los Angeles/Optical Goods/SEE,,34.07591,ggertsch@seeitwantit.com,http://www.seeeyewear.com,24.0,"PostalAddress, US, 8500 Beverly Blvd, Los Angeles, CA, 90048",(310) 360-6998,"amex, check, discover, master card, visa, debit",,latitude: 34.07591 | longitude: -118.37678,https://i2.ypcdn.com/blob/e5573e5c03654a4ef668a608f99fdb30bea1ba98_400x260_crop.jpg~https://i3.ypcdn.com/blob/6e71ff9b8500415d26fb1a093d3698fb4caaf32b_240x170_crop.jpg~https://i3.ypcdn.com/blob/5ff13cdf35352b7cee01bc0f90fa3b6d0a0facb5_115x80_crop.jpg~https://i3.ypcdn.com/blob/1642f8fc5dccea6c0eb21b6ca16ccf1202fd406c_115x80_crop.jpg,SEE,https://www.yellowpages.com/los-angeles-ca/mip/see-21967598,US,CA,-118.37678,2021-11-20 03:20:51,Mo-Fr 10:00-21:00 | Sa 10:00-20:00 | Su 11:00-18:00,,8500 Beverly Blvd
,10003,"Eyes on Second in New York, New York, is a neighborhood gem for those discerning clients looking for high-quality eye care and high fashion eyewear. Dr. Irina Shiyan and Dr. Luisa Prieto, both graduates of the State University of New York, provide a full range of optometry services. The doctors and staff at Eyes on Second take pride in meeting all their customers' eye care needs, beginning with a complete and comprehensive eye exam using state-of-the-art equipment. They offer unique choices for eyeglasses, prescription lenses, and contacts. 
Established in 2014, Eyes on Second offers a professional, friendly, and comfortable setting and provides customized eye care for all members of the family. In addition to eye exams, Eyes on Second provides treatment and management of eye diseases and health conditions, contact lens fitting, and adjustment of conventional eyeglasses. The extensive selection of eyewear includes everything from high fashion to budget friendly styles and colors. Among the brands available are Dita, Salt, Lindberg, Masunaga, Cutler and Gross, Oakley, Mykita, and Dolabany. 
While the aesthetics and cosmetic effects of the right eyeglasses make a difference in appearance and self-confidence, the real key is vision improvement. Dr. Shiyan and Dr. Prieto carefully and completely test and examine each patient's eyesight to ensure that they will be able to see clearly under all conditions. They give patients advice and education about eye health, the connection between overall health and eye health, and help patients maintain and improve their visual health. 
Eyes on Second caters to all ages, from children to the elderly, and the doctors take pride in being considered the East Village's preferred optometrists. Their devotion to and passion for providing optimal vision care makes them unique and is a major factor in the quality of service that shows their commitment to their patients. The office offers extended and Saturday hours to meet the needs of even the most crowded schedule and to work around school or work commitments. Eyes on Second is the place to go in the East Village for eye care and eyewear. 
 ",Optical Goods/Opticians/Optometrists/Optical Goods/Opticians/Optometrists,New York,Home/NY/New York/Optical Goods/Eyes on Second,,40.73018,info@eyesonsecond.com,http://www.eyesonsecond.com,11.0,"PostalAddress, US, 170 2nd Ave, New York, NY, 10003",(212) 847-5075,"all major credit cards, insurance",,latitude: 40.73018 | longitude: -73.98626,,Eyes on Second,https://www.yellowpages.com/new-york-ny/mip/eyes-on-second-504976871,US,NY,-73.98626,2021-11-20 03:21:05,Mo 10:00-18:00 | Tu 12:00-20:00 | We 08:00-16:00 | Th 12:00-20:00 | Fr 08:00-16:00 | Sa 10:00-18:00 | Su 16:00-18:00,,170 2nd Ave
,41017,,Massage Therapists/Physical Therapists/Massage Therapists/Physical Therapists/Physical Therapy Clinics,Crescent Springs,Home/KY/Crescent Springs/Massage Services/Massage Therapists/Therapeutic Innovations,,39.0473,awakingtherapeutics@gmail.com,,16.0,"PostalAddress, US, 333 Terry Ln Unit 1, Crescent Springs, KY, 41017",(859) 331-2333,,,latitude: 39.0473 | longitude: -84.57797,,Therapeutic Innovations,https://www.yellowpages.com/crescent-springs-ky/mip/therapeutic-innovations-452457453,US,KY,-84.57797,2021-11-20 03:21:18,Mo-Fr 09:00-17:00,,333 Terry Ln Unit 1
,46227,Our mission at Wellness from Within Massage and Healing is to create a peaceful tranquil environment that encourages Harmony and Balance with a sense of Wellness from Within through massage therapies.,Massage Therapists/Physical Therapists/Massage Therapists/Physical Therapists,Indianapolis,Home/IN/Indianapolis/Massage Services/Massage Therapists/Wellness from Within Massage and Healing,,39.63596,kmanley_mt@live.com,http://www.citysearch.com/profile/733040600/indianapolis_in/wellness_from_within_massage.html,,"PostalAddress, US, 1250 E County Line Rd, Indianapolis, IN, 46227",(317) 205-4983,,,latitude: 39.63596 | longitude: -86.13647,,Wellness from Within Massage and Healing,https://www.yellowpages.com/indianapolis-in/mip/wellness-from-within-massage-and-healing-465544245,US,IN,-86.13647,2021-11-20 03:21:39,Mo-Fr 08:00-19:00 | Sa 08:00-12:00,,1250 E County Line Rd
27,33301,"Dr. Zoran Potparic is an experienced board-certified plastic surgeon specializing in cosmetic procedures for the face, breasts, and body.  He has training from across the United States and Europe, and is known for providing high quality service and excellent care.","Skin Care/Physicians & Surgeons/Physicians & Surgeons, Cosmetic Surgery/Skin Care/Skin Care/Physicians & Surgeons/Physicians & Surgeons, Cosmetic Surgery/Physicians & Surgeons, Plastic & Reconstructive",Fort Lauderdale,"Home/FL/Fort Lauderdale/Skin Care/Zoran Potparic, MD",5,26.12235,information@drzoran.com,http://www.drzoran.com,21.0,"PostalAddress, US, 1116 E Broward Blvd, Fort Lauderdale, FL, 33301",(954) 779-2777,"all major credit cards, check, financing available, cash, debit",,latitude: 26.12235 | longitude: -80.13163,https://i1.ypcdn.com/blob/03444e0c5bb7de89e46b347bdc61b8ee54bf6db2_400x260_crop.jpg~https://i2.ypcdn.com/blob/f0679364af0a0a6d4f16db8d8161ee399ec050e7_240x170_crop.jpg~https://i3.ypcdn.com/blob/13075a0b3d277ffd6ccc8e3c2895700ac4a76d9f_115x80_crop.jpg~https://i2.ypcdn.com/blob/c68cff7024769165e6c53428d18bb47618297b30_115x80_crop.jpg,"Zoran Potparic, MD",https://www.yellowpages.com/fort-lauderdale-fl/mip/zoran-potparic-md-21753807,US,FL,-80.13163,2021-11-20 03:22:45,Mo-Fr 09:00-17:00,,1116 E Broward Blvd
,60646,,"Optical Goods/Optometrists/Physicians & Surgeons, Ophthalmology/Contact Lenses/Optical Goods/Optometrists/Physicians & Surgeons, Ophthalmology",Chicago,"Home/IL/Chicago/Optical Goods/Sauganash Family Eye Center, LLC",,41.98996,pcsauganasheye@yahoo.com,http://www.sauganasheye.com,14.0,"PostalAddress, US, 4151 W Peterson Ave, Chicago, IL, 60646",(773) 685-5606,"check, debit, insurance, amex, discover, mastercard, visa",,latitude: 41.98996 | longitude: -87.73301,https://i2.ypcdn.com/blob/3bcefccdc7de5f6e644b2fd6861b065d58176368_400x260_crop.jpg,"Sauganash Family Eye Center, LLC",https://www.yellowpages.com/chicago-il/mip/sauganash-family-eye-center-llc-21040112,US,IL,-87.73301,2021-11-20 03:22:46,Mo-Fr 09:00-18:00 | Sa 08:30-15:30,,4151 W Peterson Ave
2,53005,"At LensCrafters located at 16970A W Bluemound Rd, we believe vision care is about far more than a pair of glasses or a prescription. Eyes are windows to the world, capturing memories and immersing us in moments. Your Brookfield LensCrafters continues its dedication to quality vision health with services and technology that ensures you always see your best. Our associates are trained to help you find the perfect pair of prescription eyeglasses and sunglasses. We feature a selection of handmade frames from brands around the world such as Ray-Ban, Coach, Oakley and more. We accept most vision insurance plans, including: Aetna, EyeMed, Humana United Healthcare Vision, and many more. At LensCrafters all prescriptions are welcome! Each pair of lenses, whether single vision, bifocals, progressives or polarized sun lenses, is crafted in our labs. We do what we do because we love eyes and care about the people behind them. Eye exams are available from Independent Doctors of Optometry at or next to LensCrafters in most states.",Optical Goods/Eyeglasses/Optometrists/Optical Goods/Eyeglasses/Optometrists,Brookfield,Home/WI/Brookfield/Optical Goods/LensCrafters,3.5,43.03742,lenscrafters0032@eyeappts.com,https://local.lenscrafters.com/wi/brookfield/16970a-w-bluemound-rd.html?cid=yext_0032&y_source=1_MTIxMDE1Mi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,38.0,"PostalAddress, US, 16970a W Bluemound Rd, Brookfield, WI, 53005",(262) 784-8120,"amex, discover, visa, cash, check, master card",,latitude: 43.03742 | longitude: -88.1234,https://i1.ypcdn.com/blob/06803f958c81564122d0faa119bc8e20c90df955_400x260_crop.jpg,LensCrafters,https://www.yellowpages.com/brookfield-wi/mip/lenscrafters-21831140,US,WI,-88.1234,2021-11-20 03:24:50,Mo-Fr 09:00-20:00 | Sa 09:00-18:00 | Su 10:00-17:00,,16970a W Bluemound Rd
1,80123,"Southwest Eye Specialists provide family eye care in Littleton, Colorado. Dr. Louise Vail, an Optometrist, is a member of the Colorado Optometric Association and has been in private practice for over 30 years. We offer comprehensive eye care, including a large selection of frames, sports glasses, and invisible no-line bifocals. Call us today for more information!",Optometrists/Contact Lenses/Eyeglasses/Optometrists/Contact Lenses/Eyeglasses/Medical Equipment & Supplies/Optical Goods/Opticians/Optometry Equipment & Supplies,Littleton,Home/CO/Littleton/Optometrists/Southwest Eye Specialists,5,39.60912,sweyedoc@netscape.net,,40.0,"PostalAddress, US, 9046 W Bowles Ave, Littleton, CO, 80123",(866) 868-9661,"amex, master card, visa",,latitude: 39.60912 | longitude: -105.09916,,Southwest Eye Specialists,https://www.yellowpages.com/littleton-co/mip/southwest-eye-specialists-12123860?lid=1002057918606,US,CO,-105.09916,2021-11-20 03:25:39,Tu-Fr 09:00-18:00 | Sa 09:00-13:00,,9046 W Bowles Ave
