State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Footnote HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Footnote for percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate
AL,017039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,2568851665,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/05/1982,3,,3,,86,,4,,85,,4,,86,,2,,82,,74,,327,,25,
AL,017048,KINDRED AT HOME,1204 W MAGNOLIA AVENUE,GENEVA,36340,3346843919,Local,Yes,Yes,Yes,Yes,No,Yes,12/08/1983,5,,5,,94,,5,,92,,4,,89,,5,,91,,90,,173,,35,
AL,017050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,2565394457,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/19/1983,5,,4,,89,,5,,90,,5,,91,,4,,90,,89,,70,,40,
AL,017051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 200",HOMEWOOD,35209,2058680147,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/01/1984,4,,3,,89,,5,,88,,4,,85,,3,,82,,81,,284,,24,
AL,017052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,36535,2519433002,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/20/1984,4,,4,,91,,5,,90,,4,,88,,4,,89,,87,,267,,39,
AL,017053,ENCOMPASS HEALTH HOME HEALTH,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,3347935758,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/20/1984,4,,4,,91,,5,,89,,4,,89,,4,,90,,85,,330,,32,
AL,017054,KINDRED AT HOME,"2100 SOUTHBRIDGE PKWY, SUITE 480",BIRMINGHAM,35209,2058360777,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/04/1984,4,,4,,90,,4,,87,,3,,84,,3,,87,,81,,310,,26,
AL,017055,KINDRED AT HOME,1988 FAIRVIEW AVENUE,PRATTVILLE,36066,3343619806,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/08/1984,4,,3,,89,,4,,88,,4,,86,,3,,88,,85,,345,,32,
AL,017056,KINDRED AT HOME,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,3342701151,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/03/1984,3,,3,,89,,4,,87,,3,,82,,3,,86,,81,,268,,27,
AL,017058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,2516210882,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/25/1984,4,,4,,91,,4,,88,,4,,86,,4,,89,,86,,329,,33,
AL,017063,INTREPID USA HEALTHCARE SERVICES,"2700 CORPORATE DRIVE, SUITE 200",BIRMINGHAM,35242,2058773403,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/05/1985,Not Available,11,Not Available,11,72,11,Not Available,11,77,11,Not Available,11,94,11,Not Available,11,65,11,65,11,15,,29,
AL,017066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/24/1986,4,,4,,91,,5,,90,,4,,88,,4,,88,,85,,178,,32,
AL,017069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,8007636382,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1986,5,,4,,92,,5,,90,,5,,91,,4,,90,,87,,346,,36,
AL,017070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,2518663261,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1986,5,,5,,94,,5,,93,,5,,92,,5,,90,,93,,139,,29,
AL,017071,KINDRED AT HOME,20 ALMON DRIVE SUITE C,MOULTON,35650,2569742741,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/21/1986,4,,4,,93,,5,,91,,4,,88,,4,,89,,88,,326,,33,
AL,017072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,3343822042,Local,Yes,Yes,Yes,No,No,Yes,02/05/1987,4,,4,,91,,5,,90,,4,,86,,4,,85,,86,,99,,28,
AL,017078,AMEDISYS HOME HEALTH OF REFORM,315 1ST STREET SOUTH,REFORM,35481,8002777445,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/12/1990,5,,4,,93,,5,,90,,5,,91,,5,,92,,88,,162,,31,
AL,017079,ENCOMPASS HEALTH HOME HEALTH,PO BOX 547,VERNON,35592,2056956736,Local,Yes,Yes,No,Yes,No,Yes,12/21/1990,Not Available,11,Not Available,11,96,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,99,11,96,11,38,,34,
AL,017080,DCH HOME HEALTH CARE AGENCY,1110 DR EDWARD HILLARD DRIVE,TUSCALOOSA,35401,2057597010,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,05/02/1991,4,,4,,90,,4,,85,,4,,87,,3,,82,,80,,220,,23,
AL,017082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,35042,2059263211,Official Health Agency,Yes,Yes,No,No,No,Yes,11/07/1991,3,,3,,88,,3,,84,,4,,87,,3,,84,,74,,173,,22,
AL,017084,KINDRED AT HOME,200 CENTRAL PARK PLACE,SELMA,36701,3348726637,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/21/1991,4,,4,,91,,5,,91,,3,,83,,4,,90,,85,,154,,28,
AL,017085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,35150,2562080087,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/05/1991,4,,4,,92,,5,,92,,4,,88,,4,,91,,87,,194,,29,
AL,017086,ALABAMA HOMECARE,"15 CLAIBORNE STREET, SUITE C",CAMDEN,36726,3346829050,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/09/1992,5,,4,,91,,5,,90,,4,,90,,5,,92,,86,,129,,31,
AL,017088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,35555,2059325961,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/18/1991,5,,5,,95,,5,,94,,4,,90,,5,,97,,95,,177,,41,
AL,017089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1912 AL HIGHWAY 157,CULLMAN,35058,2567372831,Hospital Based Program,Yes,Yes,Yes,No,Yes,Yes,06/11/1992,4,,4,,92,,5,,89,,3,,84,,4,,87,,88,,135,,31,
AL,017090,KINDRED AT HOME,114 ACADEMY AVENUE,BUTLER,36904,2518432808,Local,Yes,Yes,No,No,No,Yes,06/10/1992,5,,4,,91,,5,,92,,5,,92,,4,,91,,87,,167,,27,
AL,017091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,36744,3346243066,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,06/18/1992,5,,5,,94,,4,,88,,5,,91,,4,,91,,93,,110,,48,
AL,017092,ENCOMPASS HEALTH HOME HEALTH,194 WILLIAM E HILL DRIVE,CARROLLTON,35447,2053678111,Local,Yes,Yes,No,Yes,No,Yes,07/01/1992,5,,4,,92,,5,,91,,5,,91,,5,,89,,89,,77,,31,
AL,017093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,35968,2565242411,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,07/30/1992,4,,4,,91,,5,,89,,4,,90,,4,,88,,84,,105,,28,
AL,017094,CHEROKEE HOME HEALTH,"104C NORTHWOOD DRIVE, STE A-1",CENTRE,35960,2569271144,Hospital Based Program,Yes,Yes,Yes,No,Yes,Yes,08/13/1992,5,,5,,92,,5,,91,,4,,89,,4,,90,,87,,217,,34,
AL,017095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,35611,2562339533,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/12/1992,4,,4,,91,,5,,91,,4,,88,,4,,87,,81,,287,,30,
AL,017096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,36081,3344034520,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/27/1992,4,,4,,92,,5,,88,,4,,90,,4,,89,,88,,166,,29,
AL,017097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,36251,2563540077,Local,Yes,Yes,Yes,No,Yes,Yes,10/27/1992,4,,4,,93,,5,,91,,4,,90,,4,,92,,89,,203,,37,
AL,017100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,2059210391,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/29/1992,5,,5,,94,,5,,93,,5,,94,,5,,95,,92,,116,,39,
AL,017103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,3342890701,Combination Government Voluntary,Yes,Yes,Yes,Yes,No,Yes,12/23/1992,5,11,4,11,94,11,5,11,94,11,4,11,88,11,5,11,93,11,84,11,66,,28,
AL,017104,HIGHLANDS HOME HEALTH,901 HEROES DRIVE,SCOTTSBORO,35768,2562594840,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,01/13/1993,5,,5,,95,,5,,88,,5,,91,,4,,90,,88,,132,,42,
AL,017106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,36401,2515786800,Official Health Agency,Yes,Yes,No,No,No,Yes,01/12/1993,4,11,4,11,89,11,5,11,88,11,3,11,83,11,4,11,86,11,80,11,68,,30,
AL,017107,SUNCREST HOME HEALTH,"222-224 7TH STREET SOUTH, SUITE 224",CLANTON,35045,2052804663,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/24/1993,4,,4,,92,,5,,89,,4,,90,,4,,86,,85,,334,,31,
AL,017109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,35565,2054857341,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,06/23/1993,Not Available,11,Not Available,11,93,11,Not Available,11,95,11,Not Available,11,89,11,Not Available,11,95,11,94,11,38,,27,
AL,017112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,36545,2512470424,Hospital Based Program,Yes,Yes,No,Yes,No,Yes,06/29/1993,5,,5,,95,,5,,91,,4,,90,,5,,92,,91,,116,,34,
AL,017115,GADSDEN REGIONAL HOME HEALTH,"300 MEDICAL CENTER DRIVE, SUITE 403",GADSDEN,35903,2565382273,Local,Yes,Yes,Yes,Yes,No,Yes,07/27/1993,4,,4,,89,,4,,88,,4,,85,,4,,87,,82,,208,,33,
AL,017116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,36092,3345677710,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,07/26/1993,5,,5,,94,,5,,91,,4,,85,,5,,93,,90,,229,,44,
AL,017117,LAKE MARTIN HOME HEALTH,729 EAST SOUTH STREET,DADEVILLE,36853,2568257050,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,07/29/1993,4,,4,,90,,4,,87,,4,,87,,4,,85,,91,,157,,42,
AL,017118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,2569742200,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/17/1993,4,,4,,90,,4,,85,,4,,87,,3,,85,,82,,138,,27,
AL,017119,HUNTSVILLE HOSPITAL HOMECARE,"500 BOULEVARD SOUTH SW, SUITE 203",HUNTSVILLE,35802,2569226650,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/20/1993,3,,3,,89,,4,,85,,3,,83,,3,,85,,79,,503,,28,
AL,017121,KINDRED AT HOME,1309 ANTIOCH ROAD,ANDALUSIA,36420,3342222172,Local,Yes,Yes,Yes,Yes,No,Yes,09/27/1993,4,,5,,94,,5,,92,,3,,83,,4,,90,,87,,194,,33,
AL,017123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,3347561950,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/21/1993,5,,5,,93,,5,,91,,5,,93,,4,,90,,85,,224,,30,
AL,017124,DALE MEDICAL CENTER HOME HEALTH,126 HOSPITAL AVENUE,OZARK,36360,3347740750,Hospital Based Program,Yes,Yes,No,No,Yes,Yes,10/20/1993,5,11,5,11,93,11,5,11,92,11,5,11,93,11,5,11,92,11,88,11,67,,30,
AL,017125,KELLER HOME CARE,203 4TH AVENUE SW,RED BAY,35582,2563562273,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/20/1994,4,,4,,91,,5,,89,,4,,89,,4,,86,,85,,395,,34,
AL,017128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,35976,2568785811,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/03/1994,5,,5,,92,,5,,91,,4,,88,,4,,92,,89,,698,,36,
AL,017129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"1661 SHUG JORDAN PKWY, UNIT 505",AUBURN,36830,3348263131,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/31/1994,4,,4,,90,,4,,86,,4,,87,,3,,83,,82,,398,,31,
AL,017130,INFIRMARY HOMECARE,800 COLLEGE AVENUE,JACKSON,36545,2512626477,Local,Yes,Yes,No,No,Yes,Yes,04/13/1994,5,,4,,92,,5,,92,,5,,95,,4,,89,,85,,149,,33,
AL,017132,NURSE ON CALL,"1104 2ND AVE EAST, SUITE C",ONEONTA,35121,2052740720,Local,Yes,Yes,Yes,Yes,No,No,06/15/1994,3,,4,,90,,3,,83,,2,,78,,3,,84,,76,,154,,20,
AL,017134,LHC HOMECARE OF SOUTH ALABAMA,"1802 US HIGHWAY 84 WEST, SUITE A",OPP,36467,3344932087,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/14/1994,5,,5,,93,,5,,92,,4,,90,,4,,91,,89,,384,,34,
AL,017135,COMMUNITY HOME HEALTH,1526 GILMER AVENUE,TALLASSEE,36078,3342836541,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/27/1994,Not Available,11,Not Available,11,99,11,Not Available,11,99,11,Not Available,11,92,11,Not Available,11,89,11,83,11,32,,39,
AL,017136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,36033,3343762286,Hospital Based Program,Yes,Yes,No,No,No,Yes,09/26/1994,5,,5,,94,,5,,92,,5,,94,,5,,93,,99,,79,,40,
AL,017138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,36037,3343832286,Hospital Based Program,Yes,Yes,No,No,Yes,Yes,10/18/1994,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
AL,017140,THE HOSPITAL HOME HEALTH,101 HOSPITAL CIRCLE,LUVERNE,36049,3343353374,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,12/28/1994,5,11,5,11,94,11,5,11,90,11,4,11,87,11,4,11,89,11,91,11,45,,39,
AL,017142,ATMORE COMMUNITY HOME CARE,810 E CRAIG STREET,ATMORE,36502,2513686286,Local,Yes,Yes,No,No,No,Yes,02/13/1995,4,,4,,93,,5,,89,,4,,85,,4,,90,,84,,81,,22,
AL,017143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,36426,2518675054,Local,Yes,Yes,Yes,No,Yes,Yes,01/23/1995,4,,4,,91,,5,,90,,4,,89,,3,,88,,80,,183,,31,
AL,017145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,35128,2058847202,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/29/1995,5,,5,,94,,5,,92,,4,,89,,5,,94,,90,,441,,33,
AL,017146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE, NE",RUSSELLVILLE,35653,2563310006,Hospital Based Program,Yes,Yes,No,No,No,Yes,10/01/1998,5,11,5,11,94,11,5,11,95,11,5,11,95,11,5,11,90,11,95,11,41,,27,
AL,017147,PRIME HOME HEALTH OF LEE COUNTY,2125 EXECUTIVE PARK DRIVE,OPELIKA,36801,3347457966,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/18/1999,5,,5,,94,,5,,91,,5,,93,,4,,90,,86,,116,,33,
AL,017148,THOMAS HOME HEATLH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,36532,2519909200,Local,Yes,Yes,Yes,Yes,Yes,Yes,04/13/2000,4,,4,,89,,4,,86,,4,,85,,3,,87,,80,,410,,31,
AL,017149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,35242,2053132800,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/12/2000,4,,4,,91,,4,,87,,4,,85,,4,,88,,82,,453,,29,
AL,017151,KINDRED AT HOME,1328 GREENBRIER-DEAR ROAD,ANNISTON,36207,2568357101,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/05/2000,4,,4,,91,,4,,89,,4,,89,,5,,93,,86,,226,,34,
AL,017152,KINDRED AT HOME,1025 WEST FORT WILLIAMS ST,SYLACAUGA,35150,2562494363,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/05/2000,5,,5,,94,,5,,94,,5,,92,,5,,94,,96,,117,,32,
AL,017153,COMFORT CARE HOME HEALTH OF ALABASTER,"1140 1ST STREET N, STE 200",ALABASTER,35007,2056850421,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/20/2002,4,,4,,91,,4,,86,,4,,86,,4,,88,,84,,699,,43,
AL,017154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,35173,2056553707,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/20/2003,3,,3,,88,,4,,88,,3,,84,,3,,86,,82,,118,,26,
AL,017155,ENCOMPASS HEALTH HOME HEALTH,6333 COTTAGE HILL ROAD,MOBILE,36609,2513410707,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/05/2004,4,,3,,89,,4,,87,,4,,88,,3,,85,,82,,94,,26,
AL,017156,ENCOMPASS HEALTH HOME HEALTH,650 STONE AVENUE,TALLADEGA,35160,2567614363,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/25/2004,4,11,3,11,88,11,5,11,89,11,2,11,73,11,4,11,88,11,79,11,49,,34,
AL,017157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,36801,3348877234,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/09/2006,4,,4,,89,,4,,87,,4,,86,,3,,84,,85,,150,,25,
AL,017158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,35967,2568448303,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/11/2006,4,,4,,92,,5,,89,,4,,89,,4,,87,,83,,229,,28,
AL,017159,AMEDISYS HOME HEALTH,2560 COUNTY ROAD 112,DOTHAN,36303,8662050818,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/26/2006,4,,4,,92,,5,,90,,4,,89,,4,,86,,84,,363,,30,
AL,017160,ENCOMPASS HEALTH HOME HEALTH,207 FOB JAMES DRIVE,VALLEY,36854,3347686225,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/13/2006,5,,5,,93,,5,,91,,5,,91,,4,,90,,84,,150,,26,
AL,017161,KINDRED AT HOME,"7067 OLD MADISON PIKE NW, SUITE 105",HUNTSVILLE,35806,2568813266,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/15/2007,4,,4,,89,,5,,88,,3,,82,,3,,87,,85,,295,,26,
AL,017163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,36460,8663340260,Local,Yes,Yes,Yes,Yes,Yes,Yes,04/12/2007,4,,4,,92,,4,,87,,3,,84,,3,,89,,82,,145,,28,
AL,017164,KINDRED AT HOME,2740 HEADLAND AVE,DOTHAN,36303,3349442290,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/27/2008,4,,4,,90,,5,,91,,4,,88,,3,,83,,84,,317,,32,
AL,017165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,35630,2567661817,Local,Yes,Yes,Yes,Yes,Yes,Yes,04/10/2008,4,,4,,92,,5,,91,,4,,87,,4,,89,,88,,309,,29,
AL,017166,KINDRED AT HOME,118 6TH STREET SOUTH,CLANTON,35045,2057559926,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/11/2009,4,,4,,91,,5,,91,,4,,87,,4,,92,,87,,135,,30,
