subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,2021-14-12,all,49.041857,35.450926,10.346955,3.7443655,2021-14-12 13:59
concern-infected,2021-14-12,all,24.525285,32.476266,26.226977,16.381556,2021-14-12 13:59
concern-economy,2021-13-12,all,49.041857,35.450926,10.346955,3.7443655,2021-13-12 08:59
concern-infected,2021-13-12,all,24.525285,32.476266,26.226977,16.381556,2021-13-12 09:00
concern-economy,2021-12-12,all,49.041857,35.450926,10.346955,3.7443655,2021-13-12 08:59
concern-infected,2021-12-12,all,24.525285,32.476266,26.226977,16.381556,2021-13-12 09:00
concern-economy,2021-11-12,all,49.041857,35.450926,10.346955,3.7443655,2021-13-12 09:00
concern-infected,2021-11-12,all,24.525285,32.476266,26.226977,16.381556,2021-13-12 09:00
concern-economy,2021-10-12,all,49.041857,35.450926,10.346955,3.7443655,2021-10-12 09:39
concern-infected,2021-10-12,all,24.525285,32.476266,26.226977,16.381556,2021-10-12 09:39
concern-economy,2021-09-12,all,49.041857,35.450926,10.346955,3.7443655,2021-09-12 12:57
concern-infected,2021-09-12,all,24.525285,32.476266,26.226977,16.381556,2021-09-12 12:57
concern-economy,2021-08-12,all,49.041857,35.450926,10.346955,3.7443655,2021-08-12 11:54
concern-infected,2021-08-12,all,24.525285,32.476266,26.226977,16.381556,2021-08-12 11:54
concern-economy,2021-07-12,all,49.041857,35.450926,10.346955,3.7443655,2021-08-12 04:41
concern-infected,2021-07-12,all,24.525285,32.476266,26.226977,16.381556,2021-08-12 04:41
concern-economy,2021-06-12,all,49.041857,35.450926,10.346955,3.7443655,2021-06-12 12:02
concern-infected,2021-06-12,all,24.525285,32.476266,26.226977,16.381556,2021-06-12 12:02
concern-infected,2021-05-12,all,24.525285,32.476266,26.226977,16.381556,2021-06-12 02:57
concern-economy,2021-05-12,all,49.041857,35.450926,10.346955,3.7443655,2021-06-12 02:57
concern-economy,2021-04-12,all,49.041857,35.450926,10.346955,3.7443655,2021-06-12 02:57
concern-infected,2021-04-12,all,24.525285,32.476266,26.226977,16.381556,2021-06-12 02:57
concern-economy,2021-03-12,all,49.041857,35.450926,10.346955,3.7443655,2021-06-12 02:57
concern-infected,2021-03-12,all,24.525285,32.476266,26.226977,16.381556,2021-06-12 02:57
concern-economy,2021-02-12,all,49.041857,35.450926,10.346955,3.7443655,2021-02-12 09:22
concern-infected,2021-02-12,all,24.525285,32.476266,26.226977,16.381556,2021-02-12 09:22
concern-economy,2021-01-12,all,49.041857,35.450926,10.346955,3.7443655,2021-01-12 13:08
concern-infected,2021-01-12,all,24.525285,32.476266,26.226977,16.381556,2021-01-12 13:08
concern-economy,2021-30-11,all,49.041857,35.450926,10.346955,3.7443655,2021-30-11 06:54
concern-infected,2021-30-11,all,24.525285,32.476266,26.226977,16.381556,2021-30-11 06:54
concern-economy,2021-29-11,all,49.041857,35.450926,10.346955,3.7443655,2021-29-11 14:21
concern-infected,2021-29-11,all,24.525285,32.476266,26.226977,16.381556,2021-29-11 14:21
concern-economy,2021-28-11,all,49.041857,35.450926,10.346955,3.7443655,2021-29-11 10:53
concern-infected,2021-28-11,all,24.525285,32.476266,26.226977,16.381556,2021-29-11 10:53
concern-infected,2021-27-11,all,24.525285,32.476266,26.226977,16.381556,2021-27-11 17:57
concern-economy,2021-27-11,all,49.041857,35.450926,10.346955,3.7443655,2021-27-11 17:56
concern-economy,2021-26-11,all,49.041857,35.450926,10.346955,3.7443655,2021-27-11 17:56
concern-infected,2021-26-11,all,24.525285,32.476266,26.226977,16.381556,2021-27-11 17:57
concern-economy,2021-25-11,all,49.041857,35.450926,10.346955,3.7443655,2021-27-11 17:56
concern-infected,2021-25-11,all,24.525285,32.476266,26.226977,16.381556,2021-27-11 17:57
concern-economy,2021-24-11,all,49.041857,35.450926,10.346955,3.7443655,2021-24-11 09:09
concern-infected,2021-24-11,all,24.525285,32.476266,26.226977,16.381556,2021-24-11 09:09
concern-economy,2021-23-11,all,49.041857,35.450926,10.346955,3.7443655,2021-24-11 07:37
concern-infected,2021-23-11,all,24.525285,32.476266,26.226977,16.381556,2021-24-11 07:37
concern-economy,2021-22-11,all,49.041857,35.450926,10.346955,3.7443655,2021-22-11 12:49
concern-infected,2021-22-11,all,24.525285,32.476266,26.226977,16.381556,2021-22-11 12:49
concern-infected,2021-21-11,all,24.525285,32.476266,26.226977,16.381556,2021-22-11 09:32
concern-economy,2021-21-11,all,49.041857,35.450926,10.346955,3.7443655,2021-22-11 09:31
concern-economy,2021-20-11,all,49.041857,35.450926,10.346955,3.7443655,2021-22-11 09:31
concern-infected,2021-20-11,all,24.525285,32.476266,26.226977,16.381556,2021-22-11 09:32
concern-economy,2021-19-11,all,49.041857,35.450926,10.346955,3.7443655,2021-19-11 14:56
concern-infected,2021-19-11,all,24.525285,32.476266,26.226977,16.381556,2021-19-11 14:56
concern-economy,2021-18-11,all,49.041857,35.450926,10.346955,3.7443655,2021-18-11 21:15
concern-infected,2021-18-11,all,24.525285,32.476266,26.226977,16.381556,2021-18-11 21:15
concern-economy,2021-17-11,all,49.041857,35.450926,10.346955,3.7443655,2021-17-11 09:12
concern-infected,2021-17-11,all,24.525285,32.476266,26.226977,16.381556,2021-17-11 09:12
concern-infected,2021-16-11,all,24.525285,32.476266,26.226977,16.381556,2021-16-11 08:58
concern-economy,2021-16-11,all,49.041857,35.450926,10.346955,3.7443655,2021-16-11 08:58
concern-economy,2021-15-11,all,49.041857,35.450926,10.346955,3.7443655,2021-16-11 08:58
concern-infected,2021-15-11,all,24.525285,32.476266,26.226977,16.381556,2021-16-11 08:58
concern-infected,2021-14-11,all,24.525285,32.476266,26.226977,16.381556,2021-14-11 13:16
concern-economy,2021-14-11,all,49.041857,35.450926,10.346955,3.7443655,2021-14-11 13:15
concern-economy,2021-13-11,all,49.041857,35.450926,10.346955,3.7443655,2021-14-11 13:15
concern-infected,2021-13-11,all,24.525285,32.476266,26.226977,16.381556,2021-14-11 13:16
concern-economy,2021-12-11,all,49.041857,35.450926,10.346955,3.7443655,2021-12-11 16:02
concern-infected,2021-12-11,all,24.525285,32.476266,26.226977,16.381556,2021-12-11 16:02
concern-economy,2021-11-11,all,49.041857,35.450926,10.346955,3.7443655,2021-12-11 08:38
concern-infected,2021-11-11,all,24.525285,32.476266,26.226977,16.381556,2021-12-11 08:38
concern-economy,2021-10-11,all,49.041857,35.450926,10.346955,3.7443655,2021-10-11 20:17
concern-infected,2021-10-11,all,24.525285,32.476266,26.226977,16.381556,2021-10-11 20:17
concern-economy,2021-09-11,all,49.041857,35.450926,10.346955,3.7443655,2021-09-11 21:47
concern-infected,2021-09-11,all,24.525285,32.476266,26.226977,16.381556,2021-09-11 21:47
concern-economy,2021-08-11,all,49.041857,35.450926,10.346955,3.7443655,2021-08-11 12:40
concern-infected,2021-08-11,all,24.525285,32.476266,26.226977,16.381556,2021-08-11 12:40
concern-infected,2021-07-11,all,24.525285,32.476266,26.226977,16.381556,2021-08-11 09:11
concern-economy,2021-07-11,all,49.041857,35.450926,10.346955,3.7443655,2021-08-11 09:11
concern-infected,2021-06-11,all,24.525285,32.476266,26.226977,16.381556,2021-08-11 09:11
concern-economy,2021-06-11,all,49.041857,35.450926,10.346955,3.7443655,2021-08-11 09:11
concern-economy,2021-05-11,all,49.041857,35.450926,10.346955,3.7443655,2021-08-11 09:11
concern-economy,2021-05-11,D,49.041857,35.450926,10.346955,3.7443655,2021-08-11 09:10
concern-infected,2021-05-11,all,24.525285,32.476266,26.226977,16.381556,2021-08-11 09:11
concern-economy,2021-04-11,all,49.041857,35.450926,10.346955,3.7443655,2021-04-11 14:26
concern-infected,2021-04-11,all,24.525285,32.476266,26.226977,16.381556,2021-04-11 14:26
concern-economy,2021-03-11,all,49.041857,35.450926,10.346955,3.7443655,2021-03-11 14:30
concern-infected,2021-03-11,all,24.525285,32.476266,26.226977,16.381556,2021-03-11 14:30
concern-economy,2021-02-11,all,49.041857,35.450926,10.346955,3.7443655,2021-02-11 14:58
concern-infected,2021-02-11,all,24.525285,32.476266,26.226977,16.381556,2021-02-11 14:58
concern-economy,2021-01-11,all,49.04186,35.45092,10.34696,3.744366,2021-01-11 09:32
concern-infected,2021-01-11,all,24.52529,32.47626,26.22698,16.38156,2021-01-11 09:32
concern-infected,2021-31-10,all,24.52529,32.47626,26.22698,16.38156,2021-31-10 12:35
concern-economy,2021-31-10,all,49.04186,35.45092,10.34696,3.744366,2021-31-10 12:35
concern-economy,2021-30-10,all,49.04186,35.45092,10.34696,3.744366,2021-31-10 12:35
concern-infected,2021-30-10,all,24.52529,32.47626,26.22698,16.38156,2021-31-10 12:35
concern-economy,2021-29-10,all,49.04186,35.45092,10.34696,3.744366,2021-29-10 13:51
concern-infected,2021-29-10,all,24.52529,32.47626,26.22698,16.38156,2021-29-10 13:51
concern-economy,2021-28-10,all,49.04186,35.45092,10.34696,3.744366,2021-28-10 13:53
concern-infected,2021-28-10,all,24.52529,32.47626,26.22698,16.38156,2021-28-10 13:53
concern-infected,2021-27-10,all,24.525285,32.476266,26.226977,16.381556,2021-27-10 09:30
concern-economy,2021-27-10,all,49.041857,35.450926,10.346955,3.7443655,2021-27-10 09:30
concern-economy,2021-26-10,all,49.041857,35.450926,10.346955,3.7443655,2021-27-10 09:30
concern-infected,2021-26-10,all,24.525285,32.476266,26.226977,16.381556,2021-27-10 09:31
concern-infected,2021-25-10,all,24.525285,32.476266,26.226977,16.381556,2021-25-10 15:41
concern-economy,2021-25-10,all,49.041857,35.450926,10.346955,3.7443655,2021-25-10 15:41
concern-infected,2021-24-10,all,24.525285,32.476266,26.226977,16.381556,2021-25-10 15:41
concern-economy,2021-24-10,all,49.041857,35.450926,10.346955,3.7443655,2021-25-10 15:41
concern-infected,2021-23-10,all,24.525285,32.476266,26.226977,16.381556,2021-25-10 15:41
concern-economy,2021-23-10,all,49.041857,35.450926,10.346955,3.7443655,2021-25-10 15:41
concern-economy,2021-22-10,all,49.041857,35.450926,10.346955,3.7443655,2021-25-10 15:41
concern-infected,2021-22-10,all,24.525285,32.476266,26.226977,16.381556,2021-25-10 15:41
concern-economy,2021-21-10,all,49.041857,35.450926,10.346955,3.7443655,2021-21-10 12:35
concern-infected,2021-21-10,all,24.525285,32.476266,26.226977,16.381556,2021-21-10 12:35
concern-economy,2021-20-10,all,49.041857,35.450926,10.346955,3.7443655,2021-20-10 20:40
concern-infected,2021-20-10,all,24.525285,32.476266,26.226977,16.381556,2021-20-10 20:40
concern-infected,2021-19-10,all,24.525285,32.476266,26.226977,16.381556,2021-19-10 09:20
concern-economy,2021-19-10,all,49.041857,35.450926,10.346955,3.7443655,2021-19-10 09:20
concern-economy,2021-18-10,all,49.041857,35.450926,10.346955,3.7443655,2021-19-10 09:20
concern-infected,2021-18-10,all,24.525285,32.476266,26.226977,16.381556,2021-19-10 09:21
concern-economy,2021-17-10,all,49.041857,35.450926,10.346955,3.7443655,2021-17-10 19:16
concern-infected,2021-17-10,all,24.525285,32.476266,26.226977,16.381556,2021-17-10 19:16
concern-economy,2021-16-10,all,49.041857,35.450926,10.346955,3.7443655,2021-17-10 19:16
concern-infected,2021-16-10,all,24.525285,32.476266,26.226977,16.381556,2021-17-10 19:16
concern-economy,2021-15-10,all,49.041857,35.450926,10.346955,3.7443655,2021-17-10 19:16
concern-infected,2021-15-10,all,24.525285,32.476266,26.226977,16.381556,2021-17-10 19:16
concern-economy,2021-14-10,all,49.041857,35.450926,10.346955,3.7443655,2021-14-10 09:25
concern-infected,2021-14-10,all,24.525285,32.476266,26.226977,16.381556,2021-14-10 09:25
concern-infected,2021-13-10,all,24.525285,32.476266,26.226977,16.381556,2021-13-10 09:42
concern-economy,2021-13-10,all,49.041857,35.450926,10.346955,3.7443655,2021-13-10 09:41
concern-economy,2021-12-10,all,49.041857,35.450926,10.346955,3.7443655,2021-13-10 09:41
concern-infected,2021-12-10,all,24.525285,32.476266,26.226977,16.381556,2021-13-10 09:42
concern-economy,2021-11-10,all,49.041857,35.450926,10.346955,3.7443655,2021-13-10 09:41
concern-infected,2021-11-10,all,24.525285,32.476266,26.226977,16.381556,2021-13-10 09:42
concern-infected,2021-10-10,all,24.525285,32.476266,26.226977,16.381556,2021-13-10 09:42
concern-economy,2021-10-10,all,49.041857,35.450926,10.346955,3.7443655,2021-13-10 09:41
concern-economy,2021-09-10,all,49.041857,35.450926,10.346955,3.7443655,2021-13-10 09:42
concern-infected,2021-09-10,all,24.525285,32.476266,26.226977,16.381556,2021-13-10 09:42
concern-economy,2021-08-10,all,49.041857,35.450926,10.346955,3.7443655,2021-08-10 14:00
concern-infected,2021-08-10,all,24.525285,32.476266,26.226977,16.381556,2021-08-10 14:00
concern-economy,2021-07-10,all,49.041857,35.450926,10.346955,3.7443655,2021-07-10 12:15
concern-infected,2021-07-10,all,24.525285,32.476266,26.226977,16.381556,2021-07-10 12:15
concern-economy,2021-06-10,all,49.041857,35.450926,10.346955,3.7443655,2021-06-10 13:55
concern-infected,2021-06-10,all,24.525285,32.476266,26.226977,16.381556,2021-06-10 13:55
concern-economy,2021-05-10,all,49.041857,35.450926,10.346955,3.7443655,2021-05-10 09:10
concern-infected,2021-05-10,all,24.525285,32.476266,26.226977,16.381556,2021-05-10 09:10
concern-economy,2021-04-10,all,49.041857,35.450926,10.346955,3.7443655,2021-04-10 13:20
concern-infected,2021-04-10,all,24.525285,32.476266,26.226977,16.381556,2021-04-10 13:20
concern-infected,2021-03-10,all,24.525285,32.476266,26.226977,16.381556,2021-04-10 10:31
concern-economy,2021-03-10,all,49.041857,35.450926,10.346955,3.7443655,2021-04-10 10:31
concern-economy,2021-02-10,all,49.041857,35.450926,10.346955,3.7443655,2021-04-10 10:31
concern-infected,2021-02-10,all,24.525285,32.476266,26.226977,16.381556,2021-04-10 10:31
concern-economy,2021-01-10,all,49.041857,35.450926,10.346955,3.7443655,2021-04-10 10:31
concern-infected,2021-01-10,all,24.525285,32.476266,26.226977,16.381556,2021-04-10 10:31
concern-economy,2021-30-09,all,49.041857,35.450926,10.346955,3.7443655,2021-30-09 09:00
concern-infected,2021-30-09,all,24.525285,32.476266,26.226977,16.381556,2021-30-09 09:00
concern-economy,2021-29-09,all,49.041857,35.450926,10.346955,3.7443655,2021-29-09 09:40
concern-infected,2021-29-09,all,24.525285,32.476266,26.226977,16.381556,2021-29-09 09:40
concern-infected,2021-28-09,all,24.525285,32.476266,26.226977,16.381556,2021-29-09 08:37
concern-economy,2021-28-09,all,49.041857,35.450926,10.346955,3.7443655,2021-29-09 08:36
concern-infected,2021-27-09,all,24.525285,32.476266,26.226977,16.381556,2021-29-09 08:37
concern-economy,2021-27-09,all,49.041857,35.450926,10.346955,3.7443655,2021-29-09 08:36
concern-economy,2021-26-09,all,49.041857,35.450926,10.346955,3.7443655,2021-29-09 08:36
concern-infected,2021-26-09,all,24.525285,32.476266,26.226977,16.381556,2021-29-09 08:37
concern-economy,2021-25-09,all,49.041857,35.450926,10.346955,3.7443655,2021-29-09 08:36
concern-infected,2021-25-09,all,24.525285,32.476266,26.226977,16.381556,2021-29-09 08:37
concern-economy,2021-24-09,all,49.041857,35.450926,10.346955,3.7443655,2021-24-09 14:00
concern-infected,2021-24-09,all,24.525285,32.476266,26.226977,16.381556,2021-24-09 14:00
concern-economy,2021-23-09,all,49.041857,35.450926,10.346955,3.7443655,2021-23-09 12:15
concern-infected,2021-23-09,all,24.525285,32.476266,26.226977,16.381556,2021-23-09 12:15
concern-economy,2021-22-09,all,49.041857,35.450926,10.346955,3.7443655,2021-22-09 16:10
concern-infected,2021-22-09,all,24.525285,32.476266,26.226977,16.381556,2021-22-09 16:10
concern-economy,2021-21-09,all,49.041857,35.450926,10.346955,3.7443655,2021-21-09 20:55
concern-infected,2021-21-09,all,24.525285,32.476266,26.226977,16.381556,2021-21-09 20:55
concern-economy,2021-20-09,all,49.041857,35.450926,10.346955,3.7443655,2021-21-09 08:25
concern-infected,2021-20-09,all,24.525285,32.476266,26.226977,16.381556,2021-21-09 08:26
concern-economy,2021-19-09,all,49.041857,35.450926,10.346955,3.7443655,2021-19-09 13:36
concern-infected,2021-19-09,all,24.525285,32.476266,26.226977,16.381556,2021-19-09 13:36
concern-infected,2021-18-09,all,24.525285,32.476266,26.226977,16.381556,2021-19-09 13:36
concern-economy,2021-18-09,all,49.041857,35.450926,10.346955,3.7443655,2021-19-09 13:36
concern-economy,2021-17-09,all,49.041857,35.450926,10.346955,3.7443655,2021-19-09 13:36
concern-infected,2021-17-09,all,24.525285,32.476266,26.226977,16.381556,2021-19-09 13:36
concern-economy,2021-16-09,all,49.041857,35.450926,10.346955,3.7443655,2021-16-09 19:05
concern-infected,2021-16-09,all,24.525285,32.476266,26.226977,16.381556,2021-16-09 19:05
concern-economy,2021-15-09,all,49.041857,35.450926,10.346955,3.7443655,2021-15-09 10:30
concern-infected,2021-15-09,all,24.525285,32.476266,26.226977,16.381556,2021-15-09 10:30
concern-economy,2021-14-09,all,49.041857,35.450926,10.346955,3.7443655,2021-14-09 14:56
concern-infected,2021-14-09,all,24.525285,32.476266,26.226977,16.381556,2021-14-09 14:57
concern-infected,2021-13-09,all,24.525285,32.476266,26.226977,16.381556,2021-14-09 14:57
concern-economy,2021-13-09,all,49.041857,35.450926,10.346955,3.7443655,2021-14-09 14:56
concern-economy,2021-12-09,all,49.041857,35.450926,10.346955,3.7443655,2021-14-09 14:56
concern-infected,2021-12-09,all,24.525285,32.476266,26.226977,16.381556,2021-14-09 14:57
concern-infected,2021-11-09,all,24.525285,32.476266,26.226977,16.381556,2021-14-09 14:57
concern-economy,2021-11-09,all,49.041857,35.450926,10.346955,3.7443655,2021-14-09 14:56
concern-economy,2021-10-09,all,49.041857,35.450926,10.346955,3.7443655,2021-14-09 14:56
concern-infected,2021-10-09,all,24.525285,32.476266,26.226977,16.381556,2021-14-09 14:57
concern-economy,2021-09-09,all,49.041857,35.450926,10.346955,3.7443655,2021-09-09 12:10
concern-infected,2021-09-09,all,24.525285,32.476266,26.226977,16.381556,2021-09-09 12:10
concern-economy,2021-08-09,all,49.041857,35.450926,10.346955,3.7443655,2021-08-09 09:20
concern-infected,2021-08-09,all,24.525285,32.476266,26.226977,16.381556,2021-08-09 09:20
concern-infected,2021-07-09,all,24.525285,32.476266,26.226977,16.381556,2021-07-09 13:10
concern-economy,2021-07-09,all,49.041857,35.450926,10.346955,3.7443655,2021-07-09 13:10
concern-economy,2021-06-09,all,49.041857,35.450926,10.346955,3.7443655,2021-07-09 13:10
concern-infected,2021-06-09,all,24.525285,32.476266,26.226977,16.381556,2021-07-09 13:10
concern-economy,2021-05-09,all,49.041857,35.450926,10.346955,3.7443655,2021-05-09 08:10
concern-infected,2021-05-09,all,24.525285,32.476266,26.226977,16.381556,2021-05-09 08:10
concern-economy,2021-04-09,all,49.041857,35.450926,10.346955,3.7443655,2021-05-09 08:10
concern-infected,2021-04-09,all,24.525285,32.476266,26.226977,16.381556,2021-05-09 08:10
concern-economy,2021-03-09,all,49.041857,35.450926,10.346955,3.7443655,2021-03-09 16:25
concern-infected,2021-03-09,all,24.525285,32.476266,26.226977,16.381556,2021-03-09 16:25
concern-economy,2021-02-09,all,49.041857,35.450926,10.346955,3.7443655,2021-03-09 16:25
concern-infected,2021-02-09,all,24.525285,32.476266,26.226977,16.381556,2021-03-09 16:25
concern-economy,2021-01-09,all,49.041857,35.450926,10.346955,3.7443655,2021-01-09 09:25
concern-infected,2021-01-09,all,24.525285,32.476266,26.226977,16.381556,2021-01-09 09:25
concern-economy,2021-31-08,all,49.041857,35.450926,10.346955,3.7443655,2021-31-08 19:35
concern-infected,2021-31-08,all,24.525285,32.476266,26.226977,16.381556,2021-31-08 19:35
concern-economy,2021-30-08,all,49.041857,35.450926,10.346955,3.7443655,2021-30-08 08:15
concern-infected,2021-30-08,all,24.525285,32.476266,26.226977,16.381556,2021-30-08 08:15
concern-economy,2021-29-08,all,49.041857,35.450926,10.346955,3.7443655,2021-30-08 08:06
concern-infected,2021-29-08,all,24.525285,32.476266,26.226977,16.381556,2021-30-08 08:07
concern-infected,2021-28-08,all,24.525285,32.476266,26.226977,16.381556,2021-30-08 08:07
concern-economy,2021-28-08,all,49.041857,35.450926,10.346955,3.7443655,2021-30-08 08:06
concern-infected,2021-27-08,all,24.525285,32.476266,26.226977,16.381556,2021-30-08 08:07
concern-economy,2021-27-08,all,49.041857,35.450926,10.346955,3.7443655,2021-30-08 08:06
concern-economy,2021-26-08,all,49.041857,35.450926,10.346955,3.7443655,2021-30-08 08:06
concern-infected,2021-26-08,all,24.525285,32.476266,26.226977,16.381556,2021-30-08 08:07
concern-economy,2021-25-08,all,49.041857,35.450926,10.346955,3.7443655,2021-25-08 10:20
concern-infected,2021-25-08,all,24.525285,32.476266,26.226977,16.381556,2021-25-08 10:20
concern-economy,2021-24-08,all,49.041857,35.450926,10.346955,3.7443655,2021-24-08 19:15
concern-infected,2021-24-08,all,24.525285,32.476266,26.226977,16.381556,2021-24-08 19:15
concern-economy,2021-23-08,all,49.041857,35.450926,10.346955,3.7443655,2021-23-08 15:05
concern-infected,2021-23-08,all,24.525285,32.476266,26.226977,16.381556,2021-23-08 15:05
concern-economy,2021-22-08,all,49.041857,35.450926,10.346955,3.7443655,2021-22-08 09:15
concern-infected,2021-22-08,all,24.525285,32.476266,26.226977,16.381556,2021-22-08 09:15
concern-economy,2021-21-08,all,49.041857,35.450926,10.346955,3.7443655,2021-21-08 14:35
concern-infected,2021-21-08,all,24.525285,32.476266,26.226977,16.381556,2021-21-08 14:35
concern-economy,2021-20-08,all,49.041857,35.450926,10.346955,3.7443655,2021-20-08 17:35
concern-infected,2021-20-08,all,24.525285,32.476266,26.226977,16.381556,2021-20-08 17:35
concern-economy,2021-19-08,all,49.019588,35.470565,10.351954,3.7238409,2021-19-08 08:15
concern-infected,2021-19-08,all,24.512048,32.383608,26.246701,16.456238,2021-19-08 08:15
concern-economy,2021-18-08,all,49.041857,35.450926,10.346955,3.7443655,2021-18-08 09:10
concern-infected,2021-18-08,all,24.525285,32.476266,26.226977,16.381556,2021-18-08 09:10
concern-economy,2021-17-08,all,49.041857,35.450926,10.346955,3.7443655,2021-18-08 08:16
concern-infected,2021-17-08,all,24.525285,32.476266,26.226977,16.381556,2021-18-08 08:17
concern-economy,2021-16-08,all,49.041857,35.450926,10.346955,3.7443655,2021-18-08 08:16
concern-infected,2021-16-08,all,24.525285,32.476266,26.226977,16.381556,2021-18-08 08:17
concern-infected,2021-15-08,all,24.525285,32.476266,26.226977,16.381556,2021-18-08 08:17
concern-economy,2021-15-08,all,49.041857,35.450926,10.346955,3.7443655,2021-18-08 08:16
concern-economy,2021-14-08,all,49.041857,35.450926,10.346955,3.7443655,2021-18-08 08:16
concern-infected,2021-14-08,all,24.525285,32.476266,26.226977,16.381556,2021-18-08 08:17
concern-economy,2021-13-08,all,49.041857,35.450926,10.346955,3.7443655,2021-13-08 14:15
concern-infected,2021-13-08,all,24.525285,32.476266,26.226977,16.381556,2021-13-08 14:15
concern-economy,2021-12-08,all,49.041857,35.450926,10.346955,3.7443655,2021-12-08 19:20
concern-infected,2021-12-08,all,24.525285,32.476266,26.226977,16.381556,2021-12-08 19:20
