Country,Sex,y2015,y2010,y2005,y2000
Bosnia and Herzegovina, Female,1.9,2,2.6,3.5
Botswana, Both sexes,12.6,13.5,15,15.4
Botswana, Male,19.5,20.7,23.2,23.9
Botswana, Female,6.2,6.9,7.7,7.7
Brazil, Both sexes,6,5.9,6.2,5.6
Brazil, Male,9.6,9.4,10.1,9.5
Brazil, Female,2.7,2.7,2.6,2.2
Brunei Darussalam, Both sexes,1.4,0.6,1.8,1.2
Brunei Darussalam, Male,1.4,0.9,2.4,1.3
Brunei Darussalam, Female,1.3,0.3,1.1,0.9
Bulgaria, Both sexes,11.2,11.1,12.4,15.6
Bulgaria, Male,18.3,18,19.9,24.4
Bulgaria, Female,4.8,4.9,5.6,7.8
Burkina Faso, Both sexes,16.5,16,15.7,16
Burkina Faso, Male,25.1,24.9,25,25.9
Burkina Faso, Female,10.1,9.4,8.8,8.5
Burundi, Both sexes,13,13.9,13.9,12.7
Burundi, Male,20.3,21.5,21.7,20.3
Burundi, Female,6.3,7,6.9,6.2
C̫te d'Ivoire, Both sexes,27.2,26.4,25.1,22.2
C̫te d'Ivoire, Male,38.8,37.9,36.5,32.2
C̫te d'Ivoire, Female,14.4,13.5,12.4,10.7
Cabo Verde, Both sexes,11.9,12.6,12.5,14.8
Cabo Verde, Male,18.5,18.8,18.7,22.6
Cabo Verde, Female,7,7.9,7.8,8.9
Cambodia, Both sexes,12.8,12.6,13.1,14
Cambodia, Male,17.9,17.2,17.9,18.2
Cambodia, Female,8.5,8.7,9.1,10.5
Cameroon, Both sexes,17.5,17.6,17,15.5
Cameroon, Male,27.1,27.2,26.4,23.8
Cameroon, Female,8.5,8.6,8.1,7.7
Canada, Both sexes,10.4,10.9,11,11.2
Canada, Male,15.3,16.1,16.6,17.4
Canada, Female,5.6,5.8,5.5,5.1
Central African Republic, Both sexes,19.6,20.8,19,16.5
Central African Republic, Male,30.3,32.1,29.6,25.8
Central African Republic, Female,9.3,10.1,8.9,7.8
Chad, Both sexes,14.2,13.4,12.7,11.9
Chad, Male,20.9,19.8,18.7,17.6
Chad, Female,7.9,7.4,7,6.6
Chile, Both sexes,9.1,11.4,10.1,10.9
Chile, Male,15.3,19,17.3,19.2
Chile, Female,3.3,4.2,3.3,3.1
China, Both sexes,8.5,9,9.9,11.7
China, Male,7.7,8.2,9.1,10.9
China, Female,9.5,10,10.9,12.7
Colombia, Both sexes,6,6.7,5.8,6.2
Colombia, Male,10.1,11.6,9.5,10
Colombia, Female,2.1,2.2,2.4,2.7
Comoros, Both sexes,12.3,12.9,13.3,12.7
Comoros, Male,17.2,17.9,18.4,18.1
Comoros, Female,8,8.5,8.9,7.9
Congo, Both sexes,11.9,13.7,17.3,17.1
Congo, Male,17.9,20.6,25.9,25.8
Congo, Female,6.1,7,8.8,8.5
Costa Rica, Both sexes,7.3,8.2,7.8,7.8
Costa Rica, Male,12.6,14.2,13.5,13.8
Costa Rica, Female,2,2.2,2.3,1.8
Croatia, Both sexes,12.1,13.2,15,16.6
Croatia, Male,19.2,21.5,24.3,27.8
Croatia, Female,5.7,6,7.1,6.9
Cuba, Both sexes,10.5,11.5,11.1,14.9
Cuba, Male,17,18.5,17,21.6
Cuba, Female,4.2,4.8,5.6,8.6
Cyprus, Both sexes,3.9,4.1,1.8,1.8
Cyprus, Male,6.7,6.3,2.6,2.3
Cyprus, Female,1,2,1.1,1.2
Czechia, Both sexes,10.6,12,12.8,13.6
Czechia, Male,17.7,20.5,22,22.9
Czechia, Female,3.9,3.8,4.4,5.2
Democratic People's Republic of Korea, Both sexes,15.2,18.9,21,19.1
Democratic People's Republic of Korea, Male,17.3,21,23.6,23.7
Democratic People's Republic of Korea, Female,14.3,18.3,20.2,16.3
Democratic Republic of the Congo, Both sexes,12.2,12,12.6,13.8
Democratic Republic of the Congo, Male,17.3,17.1,18.2,20.3
Democratic Republic of the Congo, Female,7.3,7.1,7.2,7.7
Denmark, Both sexes,9.1,8.8,11,12.3
Denmark, Male,13.5,12.7,16.1,18.7
Denmark, Female,4.7,4.9,6.1,6.3
Djibouti, Both sexes,10.8,10.2,11.3,11.8
Djibouti, Male,15.4,14.2,15.7,15.9
Djibouti, Female,6.5,6.4,7.3,7.9
Dominican Republic, Both sexes,7.3,7.4,9.9,8.1
Dominican Republic, Male,12.2,12.5,17,13.5
Dominican Republic, Female,2.6,2.4,3,2.7
Ecuador, Both sexes,7.6,9.1,9.7,6.7
Ecuador, Male,11.5,13.7,14.8,9.8
Ecuador, Female,3.7,4.5,4.7,3.7
Egypt, Both sexes,3.1,3,3.3,3.7
Egypt, Male,4.5,4.2,4.5,5.1
Egypt, Female,1.8,1.9,2.2,2.4
El Salvador, Both sexes,11,12.5,15.3,16.6
El Salvador, Male,19.2,21.6,26.1,27.3
El Salvador, Female,4.4,5,6.1,7.5
Equatorial Guinea, Both sexes,26.6,27.9,26.3,27.7
Equatorial Guinea, Male,39.1,41.1,38.3,41.6
Equatorial Guinea, Female,13.2,13.7,13.4,12.8
Eritrea, Both sexes,13.2,15.1,17,18
Eritrea, Male,23.4,26.9,29.8,31.4
Eritrea, Female,5.4,5.9,7.1,8
Estonia, Both sexes,14.9,15,19.9,25.9
Estonia, Male,26.4,26.6,35.5,44.7
Estonia, Female,4.8,4.7,6,9.8
Ethiopia, Both sexes,12.8,12.7,12.8,14.5
Ethiopia, Male,20.7,20.4,20.6,23.2
Ethiopia, Female,5.6,5.6,5.4,6
Fiji, Both sexes,8.9,9.8,9.8,9.6
Fiji, Male,13.5,14.6,14.2,13.6
Fiji, Female,4.3,4.8,5.4,5.7
Finland, Both sexes,14.2,16.5,17,21.7
Finland, Male,21.4,25.3,25.4,33.2
Finland, Female,7.2,7.8,9,10.4
France, Both sexes,12.3,14,14.8,15.7
France, Male,19,21.3,22.4,23.9
France, Female,5.9,7.2,7.9,8.3
Gabon, Both sexes,12.5,12.6,11.5,12.2
Gabon, Male,18.1,18.1,16.4,17.8
Gabon, Female,7,7.3,6.8,7
Gambia, Both sexes,11.6,11.6,12.4,13.4
Gambia, Male,15.5,15.7,16.7,18.1
Gambia, Female,7.7,7.6,8.1,8.7
Georgia, Both sexes,5.3,5.1,4.3,5.4
Georgia, Male,9.7,9.3,7.7,9.7
Georgia, Female,1.5,1.5,1.5,1.7
Germany, Both sexes,9.1,9.7,10,11.3
Germany, Male,13.9,15.2,15.8,17.9
Germany, Female,4.5,4.5,4.7,5.2
Ghana, Both sexes,10.2,9.5,9.6,9.4
Ghana, Male,17.8,16.5,16.2,15.4
Ghana, Female,3.9,3.9,3.7,3.6
Greece, Both sexes,3.2,3.1,3.1,3.1
Greece, Male,5.4,5.1,5.1,5
Greece, Female,1.2,1.2,1.3,1.3
Grenada, Both sexes,0.4,0.7,3,2.3
Grenada, Male,0,1.6,5.7,4.1
Grenada, Female,0.5,0,0.7,0.8
Guatemala, Both sexes,2.7,3.4,4.1,4.3
Guatemala, Male,4.2,5.8,7,7.4
Guatemala, Female,1.5,1.4,1.6,1.6
Guinea, Both sexes,11.4,11.7,11.2,10.2
Guinea, Male,15.5,16.4,15.8,13.7
Guinea, Female,7.5,7.1,6.9,6.9
Guinea-Bissau, Both sexes,9.5,10.2,10.5,11
Guinea-Bissau, Male,13.6,14.7,14.5,14.8
Guinea-Bissau, Female,5.8,6.2,6.9,7.6
Guyana, Both sexes,30.6,28.7,28.2,26.1
Guyana, Male,46,43.4,44.4,41.2
Guyana, Female,15.5,14.4,13.3,11.7
Haiti, Both sexes,11.7,10.3,9.5,9.9
Haiti, Male,17.7,15.9,15,15.5
Haiti, Female,6,5.1,4.4,4.8
Honduras, Both sexes,4.2,4.7,4.9,4.2
Honduras, Male,5.8,6.7,7.1,6.3
Honduras, Female,2.6,2.9,2.9,2.2
Hungary, Both sexes,15.7,19.2,20.4,25.9
Hungary, Male,25.8,32.7,34.9,43.5
Hungary, Female,6.9,7.5,8.1,10.6
Iceland, Both sexes,11.8,11.9,10.5,13.9
Iceland, Male,17.2,18.6,13.7,22
Iceland, Female,6.3,5.1,7.1,5.7
India, Both sexes,16,17.7,18.4,19.1
India, Male,17.9,19.5,20.3,21.5
India, Female,14.2,16,16.6,16.8
Indonesia, Both sexes,3,3.3,3.4,3.3
Indonesia, Male,4.5,4.8,5,4.8
Indonesia, Female,1.6,1.9,1.9,1.9
Iran (Islamic Republic of), Both sexes,3.6,5.4,8.4,9
Iran (Islamic Republic of), Male,4.2,6.9,10.4,10.2
Iran (Islamic Republic of), Female,2.9,3.9,6.4,7.8
Iraq, Both sexes,4.1,3.6,3.4,3.8
Iraq, Male,4.8,4.3,4.1,4.9
Iraq, Female,3.5,3,2.8,2.9
Ireland, Both sexes,11.1,10.9,10.7,11.9
Ireland, Male,18,17,17,19.5
Ireland, Female,4.2,4.8,4.3,4.3
Israel, Both sexes,5.4,6.8,7.1,7.3
Israel, Male,8.7,11.5,10.7,12
Israel, Female,2.3,2.4,3.7,2.9
Italy, Both sexes,5.4,4.9,5.1,5.6
Italy, Male,8.7,8,8.2,8.7
Italy, Female,2.2,2.1,2.4,2.8
Jamaica, Both sexes,1.4,0.5,2,0.2
Jamaica, Male,2.6,0.9,3.3,0.4
Jamaica, Female,0.3,0.2,0.9,0.1
Japan, Both sexes,15.4,19,19.1,18.4
Japan, Male,21.7,27.7,28.5,27.5
Japan, Female,9.2,10.4,10,9.8
Jordan, Both sexes,3.9,4,4.3,4.9
Jordan, Male,5.3,5.5,6.2,6.7
Jordan, Female,2.4,2.5,2.4,2.8
Kazakhstan, Both sexes,27.5,26.1,29.9,39.1
Kazakhstan, Male,48.1,45.7,53.3,70.3
Kazakhstan, Female,9.6,9,9.1,12.4
Kenya, Both sexes,10.5,10.9,11.1,11.4
Kenya, Male,17.1,17.8,18.1,18.8
Kenya, Female,4.5,4.6,4.6,4.5
Kiribati, Both sexes,14.8,15.6,15.3,16.3
Kiribati, Male,23.6,24.7,23.9,25.8
Kiribati, Female,6.6,7.2,7.4,7.8
Kuwait, Both sexes,4.1,3.7,3,3.2
Kuwait, Male,5.7,5,3.8,4
Kuwait, Female,2.1,2.1,1.8,1.9
Kyrgyzstan, Both sexes,8.2,9.5,11.9,15.1
Kyrgyzstan, Male,13.4,15.7,20.5,26.4
Kyrgyzstan, Female,3.4,4,4,5
Lao People's Democratic Republic, Both sexes,14,14.9,16.2,17.8
Lao People's Democratic Republic, Male,18.5,19.6,21.5,23.9
Lao People's Democratic Republic, Female,9.9,10.8,11.5,12.2
Latvia, Both sexes,17.4,19.2,22.9,31.3
Latvia, Male,31.9,36.7,41.1,57.2
Latvia, Female,4.8,4.2,6.9,9.9
Lebanon, Both sexes,3.1,2.8,3,3.3
Lebanon, Male,4,3.5,3.9,4.4
Lebanon, Female,2,1.9,2.1,2.3
Lesotho, Both sexes,13.6,14.4,14.5,16
Lesotho, Male,19.9,21.2,21.2,23.2
Lesotho, Female,8.2,8.6,8.7,9.8
Liberia, Both sexes,10.3,10.5,11.1,9.9
Liberia, Male,16.1,16.7,17.5,14.8
Liberia, Female,4.9,4.7,5.2,5.4
Libya, Both sexes,6,6.5,6.6,7.1
Libya, Male,9.2,9.8,9.6,9.7
Libya, Female,2.8,3.2,3.5,4.1
Lithuania, Both sexes,26.1,27.9,35.3,45.3
Lithuania, Male,47.1,50.4,64.2,80
Lithuania, Female,8.1,8.5,10.4,15.3
Luxembourg, Both sexes,8.5,9.6,10.7,13.4
Luxembourg, Male,11.6,14.6,16.9,20
Luxembourg, Female,5.2,4.5,5.2,7.4
Madagascar, Both sexes,8,8.8,8.9,9.4
Madagascar, Male,12.5,13.4,13.3,13.8
Madagascar, Female,3.9,4.5,4.7,5
Malawi, Both sexes,10.8,10.5,10.6,12.3
Malawi, Male,18,17.8,18.4,21
Malawi, Female,4.8,4.3,3.9,4.8
Malaysia, Both sexes,6.5,6.5,6.9,8
Malaysia, Male,9.5,9.2,9.6,11.2
Malaysia, Female,3.4,3.7,4.1,4.8
Maldives, Both sexes,11,13,17.7,25
Maldives, Male,13.1,14.6,19.9,26.4
Maldives, Female,8.9,11.4,15.2,23.4
Mali, Both sexes,10.5,10.5,10.2,10
Mali, Male,14.5,14.7,14.3,14.1
Mali, Female,6.7,6.7,6.5,6.3
Malta, Both sexes,5,6.7,4.3,5.7
Malta, Male,8.2,12,7,9.1
Malta, Female,2,1.3,2.1,2.4
Mauritania, Both sexes,9.8,9.4,8.8,8.3
Mauritania, Male,14.5,13.8,12.8,12.1
Mauritania, Female,5.7,5.6,5.2,4.9
Mauritius, Both sexes,8.8,7.9,8.8,12.2
Mauritius, Male,14,12.6,13.7,19.3
Mauritius, Female,3.7,3.6,4,5.3
Mexico, Both sexes,5,4.4,4.3,3.7
Mexico, Male,8.1,7.3,7.3,6.6
Mexico, Female,2.1,1.6,1.4,1.1
Micronesia (Federated States of), Both sexes,11.2,11.5,12.6,12
Micronesia (Federated States of), Male,15.7,15.9,17.4,16.1
Micronesia (Federated States of), Female,6.7,7.1,7.9,8.1
Mongolia, Both sexes,28.1,32.9,33.6,31.8
Mongolia, Male,48.2,55.8,57.7,51.6
Mongolia, Female,9.2,11.3,10.7,13
Montenegro, Both sexes,8.7,8.9,10.1,9.8
Montenegro, Male,12.4,13.1,15,14.1
Montenegro, Female,5.3,5.2,5.8,5.8
Morocco, Both sexes,5.2,6,8.3,10.4
Morocco, Male,7,8.2,11.6,14.6
Morocco, Female,3.5,4,5.3,6.5
Mozambique, Both sexes,12.9,13.6,13.6,14.5
Mozambique, Male,20.5,21.9,21.8,23.2
Mozambique, Female,6.7,6.8,6.9,7.5
Myanmar, Both sexes,4.5,4,3.8,3.7
Myanmar, Male,5.9,5.1,4.7,4.7
Myanmar, Female,3.3,3.1,3,2.8
Namibia, Both sexes,10.4,11.8,12.5,13.6
Namibia, Male,16.4,18.9,20.3,21.5
Namibia, Female,5.5,5.8,5.6,6.5
Nepal, Both sexes,7.2,8.3,9.7,11.3
Nepal, Male,8.2,9.3,10.8,12.8
Nepal, Female,6.2,7.3,8.7,10
Netherlands, Both sexes,9.4,8.1,8.3,8.1
Netherlands, Male,12.9,11.5,11.6,11.3
Netherlands, Female,6,4.7,5.1,5.2
New Zealand, Both sexes,12.3,12.1,12.6,12.4
New Zealand, Male,18.7,17.8,19.4,20.7
New Zealand, Female,6.3,6.7,6,4.4
Nicaragua, Both sexes,9.8,10.6,15.6,16.4
Nicaragua, Male,15.9,17.2,25.8,26.7
Nicaragua, Female,4.2,4.6,6.2,6.9
Niger, Both sexes,8.5,9.2,9.2,8.5
Niger, Male,11.5,12.2,12.1,11.2
Niger, Female,5.5,6.3,6.6,6
Nigeria, Both sexes,15.1,14.9,14.5,14.8
Nigeria, Male,20.3,20.3,20.1,20.4
Nigeria, Female,9.9,9.5,9.1,9.4
Norway, Both sexes,9.3,10.2,10.8,12.2
Norway, Male,12.9,14.1,14.5,18.8
Norway, Female,5.7,6.2,7.1,5.8
Oman, Both sexes,4.8,4.7,4.3,5.5
Oman, Male,6.4,6.8,6.4,8
Oman, Female,1.3,1.4,1.4,2
Pakistan, Both sexes,2.5,2.6,2.8,3.5
Pakistan, Male,2.5,2.5,3,4.1
Pakistan, Female,2.4,2.6,2.6,2.8
Panama, Both sexes,5.6,5.9,7.4,7.1
Panama, Male,10.1,10.4,12.9,12.6
Panama, Female,1.1,1.5,2,1.6
Papua New Guinea, Both sexes,11.9,11.3,11.2,13.2
Papua New Guinea, Male,18.1,18.1,17.4,19.9
Papua New Guinea, Female,5.9,4.8,5.2,6.6
Paraguay, Both sexes,9.9,9.6,10.7,11.5
Paraguay, Male,13.7,13,14.6,16.3
Paraguay, Female,6.1,6.2,6.7,6.6
Peru, Both sexes,6,6.7,7,7.2
Peru, Male,9.2,10.3,10.5,10.7
Peru, Female,2.9,3.2,3.7,3.8
Philippines, Both sexes,3.8,4.3,3.4,3.2
Philippines, Male,5.8,6.6,5.2,4.7
Philippines, Female,1.9,2,1.7,1.8
Poland, Both sexes,18.5,19.3,19.2,18.6
Poland, Male,32.7,34.6,34.3,32.6
Poland, Female,4.9,4.8,5,5.5
Portugal, Both sexes,8.5,8.7,7.6,5.3
Portugal, Male,14.3,14.3,12.6,9.1
Portugal, Female,3.7,4.1,3.4,2.1
Qatar, Both sexes,5.7,6.1,3.8,3.7
Qatar, Male,7.3,7.9,5.1,4.9
Qatar, Female,1.2,1.2,1.1,1.2
Republic of Korea, Both sexes,24.1,27.9,24.2,14.2
Republic of Korea, Male,36.1,39.3,34.7,20.8
Republic of Korea, Female,13.4,18.4,15.4,8.5
Republic of Moldova, Both sexes,12.5,17.6,17.6,16.3
Republic of Moldova, Male,22.3,31.6,31.7,30.5
Republic of Moldova, Female,3.9,5.3,5.4,4.2
Romania, Both sexes,9.2,11.4,10.3,11.5
Romania, Male,16.4,19.7,17.8,19.6
Romania, Female,2.5,3.6,3.2,3.8
Russian Federation, Both sexes,17.9,22.2,29.2,34.6
Russian Federation, Male,32.2,40,52.9,63.1
Russian Federation, Female,5.6,7,8.8,10
Rwanda, Both sexes,12.6,13.7,15.6,16.4
Rwanda, Male,24.3,26.2,30,31.8
Rwanda, Female,3.5,3.9,4.2,3.8
Saint Lucia, Both sexes,6.7,6.7,2.6,8
Saint Lucia, Male,12,11.5,5.3,12.9
Saint Lucia, Female,1.6,2.1,0,3.6
Saint Vincent and the Grenadines, Both sexes,2.6,3.7,9,7.2
Saint Vincent and the Grenadines, Male,4.9,6.4,15.1,13.9
Saint Vincent and the Grenadines, Female,0.4,0.8,3.1,0.7
Samoa, Both sexes,7,7.8,9.3,11.6
Samoa, Male,11.4,12.6,14.7,17.9
Samoa, Female,2.8,3.1,3.9,5.1
Sao Tome and Principe, Both sexes,2.6,2.6,2.6,2.8
Sao Tome and Principe, Male,3.6,3.5,3.6,4
Sao Tome and Principe, Female,1.7,1.7,1.6,1.6
Saudi Arabia, Both sexes,3.9,4,3.4,3.5
Saudi Arabia, Male,5.5,5.7,4.9,5.2
Saudi Arabia, Female,2.2,2.2,1.8,1.6
Senegal, Both sexes,11.8,13.2,14.6,14.6
Senegal, Male,20.2,21.6,23.7,23.5
Senegal, Female,5.2,6.5,7.2,7.1
Serbia, Both sexes,12.1,11.7,14.7,16.8
Serbia, Male,19.5,19.1,23,26.2
Serbia, Female,5.5,5.3,7.7,8.6
Seychelles, Both sexes,8.7,9.3,9.6,9.4
Seychelles, Male,15.7,16.7,17.8,17.3
Seychelles, Female,1.9,1.9,2,2
Sierra Leone, Both sexes,22.1,21.4,23,24.8
Sierra Leone, Male,29.7,29.1,32,32.8
Sierra Leone, Female,14.7,14.1,14.4,17.1
Singapore, Both sexes,8.6,9.1,10.4,11.4
Singapore, Male,11.9,12,14.6,15
Singapore, Female,5.5,6.5,6.8,8
Slovakia, Both sexes,9.9,11.1,11.7,12.7
Slovakia, Male,18.1,20,21.1,21.9
Slovakia, Female,2.5,3.1,3.1,4.3
Slovenia, Both sexes,15,15.4,20.4,25.5
Slovenia, Male,24.5,26.3,33.6,40
Slovenia, Female,6,5.1,8.3,12.7
Solomon Islands, Both sexes,9.4,9.6,10.2,13.3
Solomon Islands, Male,13.7,13.8,14.8,18.3
Solomon Islands, Female,5,5.4,5.4,8
Somalia, Both sexes,8.6,8,8.6,8.9
Somalia, Male,12.7,11.5,12.7,13.1
Somalia, Female,4.8,4.7,4.8,5
South Africa, Both sexes,12.3,11.9,12,13
South Africa, Male,20.7,20.2,19.6,20.7
South Africa, Female,5.1,5.2,5.8,6.5
South Sudan, Both sexes,9.6,10.6,11.2,11.6
South Sudan, Male,14.3,15.7,16.7,17.4
South Sudan, Female,5.4,5.9,6.1,6.3
Spain, Both sexes,6,4.9,5.8,6.4
Spain, Male,9.4,7.9,9.2,10.1
Spain, Female,2.9,2.2,2.7,2.9
Sri Lanka, Both sexes,34.6,28.7,30.9,38.3
Sri Lanka, Male,58.8,47.6,48.2,59.5
Sri Lanka, Female,13.3,11.7,14.8,17.9
Sudan, Both sexes,11.4,12.3,12.6,12.3
Sudan, Male,16.6,17.8,18.6,18.2
Sudan, Female,6.3,6.8,6.7,6.5
Suriname, Both sexes,26.9,29,30,29
Suriname, Male,41.6,45.7,49.4,46.3
Suriname, Female,12.6,12.8,10.9,12
Swaziland, Both sexes,17.9,18.5,20.1,21.4
Swaziland, Male,27.3,28.5,31.8,32.6
Swaziland, Female,9.6,9.8,9.9,11.7
Sweden, Both sexes,12.7,11.8,12.6,12.2
Sweden, Male,17.8,16.9,17.2,17.1
Sweden, Female,7.6,6.7,8.2,7.4
Switzerland, Both sexes,10.7,10.6,14.2,16.2
Switzerland, Male,15.5,15.2,20.4,24.1
Switzerland, Female,6,6.2,8.4,8.9
Syrian Arab Republic, Both sexes,3.2,2.7,2.4,2.5
Syrian Arab Republic, Male,5.2,4.3,3.8,4
Syrian Arab Republic, Female,1.2,1.2,0.9,0.9
Tajikistan, Both sexes,4.9,5,5.5,5.7
Tajikistan, Male,7.2,7.7,8.9,8.9
Tajikistan, Female,2.5,2.3,2.3,2.5
Thailand, Both sexes,12.7,13.6,12.6,10.9
Thailand, Male,18.2,19.5,17.9,14.5
Thailand, Female,7.7,8.1,7.7,7.7
The former Yugoslav republic of Macedonia, Both sexes,6.4,5,6.6,7.3
The former Yugoslav republic of Macedonia, Male,9.9,7.3,9.9,10.5
The former Yugoslav republic of Macedonia, Female,3.1,2.8,3.6,4.3
Timor-Leste, Both sexes,9.4,10.6,11.2,16.1
Timor-Leste, Male,13.2,15.1,15.3,22
Timor-Leste, Female,5.6,6.1,7.1,10.1
Togo, Both sexes,15.4,15.6,16.2,16.1
Togo, Male,23.1,23.3,24.7,24.7
Togo, Female,8.7,8.8,8.8,8.8
Tonga, Both sexes,4.1,4.4,4.3,4.5
Tonga, Male,5.1,5.4,5.1,5.1
Tonga, Female,3.3,3.4,3.6,4
Trinidad and Tobago, Both sexes,13.2,11.9,10.3,14.3
Trinidad and Tobago, Male,22.4,19.2,16.8,23.5
Trinidad and Tobago, Female,4.5,5.2,4.1,5.2
Tunisia, Both sexes,5.4,5.4,5.3,5.6
Tunisia, Male,6.7,6.8,6.7,7.1
Tunisia, Female,4.1,4.1,4,4.3
Turkey, Both sexes,8.6,10.1,11.1,13.2
Turkey, Male,12.6,14.9,16.5,18.7
Turkey, Female,4.7,5.6,6.1,8
Turkmenistan, Both sexes,10.3,10.1,12,9.6
Turkmenistan, Male,15.8,16,19.9,15.7
Turkmenistan, Female,5.2,4.6,4.6,3.8
Uganda, Both sexes,12.6,12.4,12,12.9
Uganda, Male,18.3,18,17.8,19.1
Uganda, Female,7.6,7.4,6.9,7.6
Ukraine, Both sexes,16.6,18.9,22,31.5
Ukraine, Male,28.7,34.1,40.4,57.1
Ukraine, Female,6.2,5.8,6.2,9.8
United Arab Emirates, Both sexes,2.8,3.4,3.5,4.5
United Arab Emirates, Male,3.6,4.2,4.4,5.7
United Arab Emirates, Female,0.9,1.1,1.5,2.1
United Kingdom of Great Britain and Northern Ireland, Both sexes,7.4,6.8,7.1,8
United Kingdom of Great Britain and Northern Ireland, Male,11.7,10.6,10.9,12.5
United Kingdom of Great Britain and Northern Ireland, Female,3.2,3.1,3.4,3.6
United Republic of Tanzania, Both sexes,11,10.8,10.8,12.3
United Republic of Tanzania, Male,16.5,16.1,16.2,19.1
United Republic of Tanzania, Female,5.8,5.7,5.7,6.2
United States of America, Both sexes,12.6,11.5,10.4,9.7
United States of America, Male,19.5,18.2,16.7,15.9
United States of America, Female,5.8,5,4.5,3.9
Uruguay, Both sexes,15.2,14.8,13.4,14.8
Uruguay, Male,25.2,24.2,22,26.4
Uruguay, Female,6.3,6.4,6,5.1
Uzbekistan, Both sexes,9.2,7,7,9.1
Uzbekistan, Male,13.6,10.4,11.3,14
Uzbekistan, Female,5.2,3.8,3,4.4
Vanuatu, Both sexes,7,7.8,9,10.7
Vanuatu, Male,10.8,11.8,13.4,15.4
Vanuatu, Female,3.3,3.7,4.5,5.7
Venezuela (Bolivarian Republic of), Both sexes,3.1,3.7,6,8.8
Venezuela (Bolivarian Republic of), Male,5.4,6.2,10.4,15.9
Venezuela (Bolivarian Republic of), Female,1.1,1.4,1.9,2
Viet Nam, Both sexes,7.2,7.2,7,7.5
Viet Nam, Male,11.3,11.5,11.1,11.7
Viet Nam, Female,3.4,3.4,3.3,3.7
Yemen, Both sexes,9.4,10,9.9,9.4
Yemen, Male,12.6,13.5,13.6,13
Yemen, Female,6.2,6.4,6.2,5.9
Zambia, Both sexes,11.2,11.3,11.4,13.2
Zambia, Male,18.2,18.3,18.5,21.2
Zambia, Female,5,5.2,5.2,6.2
