Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category
485789,0,0,0,0,2,None,43,2003-08-02,G,Health
485790,0,0,0,0,1,76,39,2003-08-02,D,Technology
485792,0,0,0,0,None,None,None,2003-08-02,,
485793,0,0,0,0,None,None,None,2003-08-02,,
485794,0,0,0,0,None,None,None,2003-08-02,B,
485796,0,1,1,0,2,75,43,2003-08-01,G,Health
485797,0,0,0,0,None,None,None,2003-08-01,,
485798,0,0,0,0,0,None,48,2003-08-01,B,
485799,0,0,0,0,None,None,70,2003-07-02,A,
485800,0,0,0,0,None,None,None,2003-08-01,,
485801,0,0,0,0,None,None,None,2003-08-01,,
485802,0,0,0,0,None,None,None,2003-08-01,,
485803,0,0,0,0,None,None,None,2003-07-31,,
485804,0,0,0,0,None,None,None,2003-07-31,B,
485805,0,0,0,0,None,None,None,2003-07-31,A,
485806,0,0,0,0,0,None,73,2003-07-31,,
485807,0,0,0,0,None,None,None,2003-07-31,,
485808,0,0,0,0,None,None,None,2003-06-27,,
485809,0,0,0,0,None,None,None,2003-05-24,,
485810,0,0,0,0,None,None,None,2003-07-21,G,
485811,0,0,0,0,None,None,None,2003-07-29,,
485812,0,0,0,0,None,None,None,2003-07-26,G,
485813,0,1,0,1,1,None,45,2003-07-28,E,Software Industry
485814,0,0,0,0,None,None,None,2003-07-26,H,
485815,0,0,0,0,None,None,72,2003-07-26,B,
485816,0,0,0,0,2,None,42,2003-07-25,G,Technology
485817,0,0,0,0,None,None,None,2003-07-25,,
485818,0,0,0,0,None,None,None,2003-03-06,E,
485819,0,0,0,0,None,None,None,2003-07-25,,
485820,0,1,0,0,0,None,42,2003-07-25,H,Consulting
485822,0,0,0,0,None,None,None,2003-07-24,,
485823,0,0,0,0,2,None,44,2003-07-24,B,Technology
485824,0,0,0,0,None,None,None,2003-07-23,,
485825,0,0,0,0,None,None,None,2003-07-22,I,
485826,0,0,0,0,None,None,None,2003-07-22,,
485827,0,0,0,1,0,None,40,2003-07-21,H,
485828,0,0,0,0,None,None,None,2003-07-20,,
485829,0,0,0,0,None,None,None,2003-07-17,G,
485830,0,0,0,0,None,None,None,2003-07-18,,
485831,0,0,0,0,None,None,None,2003-07-17,E,
485832,0,0,0,0,2,84,42,2003-07-16,D,Technology
485833,1,1,1,0,0,None,55,2003-07-06,D,Technology
485835,0,0,0,0,0,None,46,2003-01-31,B,
485836,0,0,0,0,None,None,None,2003-07-13,,
485837,0,0,0,0,None,None,None,2003-04-30,,
485838,0,0,0,0,None,None,None,2003-01-09,H,
485839,0,0,0,0,None,None,None,2003-02-08,H,
485840,0,1,0,0,0,None,70,2003-07-14,A,
485841,0,0,0,0,None,None,None,2003-07-13,,
485842,0,0,0,0,None,None,None,2003-07-13,G,
485843,0,0,1,1,3,None,48,2003-07-13,G,Manufacturing
485844,0,0,0,0,0,None,72,2003-07-12,H,
485846,0,0,0,0,2,92,41,2003-07-12,D,Software Industry
485847,0,0,0,0,0,None,48,2003-07-12,E,Technology
485848,0,0,0,0,3,89,42,2003-07-03,I,Technology
485849,0,0,0,0,3,None,47,2003-07-11,,Consulting
485850,0,0,0,0,None,None,None,2003-07-10,,
485853,0,0,0,0,None,None,None,2003-07-09,D,
485854,0,0,0,0,None,None,None,2003-07-09,,
485856,0,0,0,0,None,None,None,2003-07-09,E,
485857,0,0,0,0,None,None,None,2003-07-09,,
485858,0,0,0,0,None,None,None,2003-07-09,C,
485860,0,0,0,0,4,72,44,2003-07-09,B,Software Industry
485862,0,0,0,0,None,None,None,2003-07-09,C,
485863,1,0,1,1,0,None,40,2003-06-08,D,Consulting
485864,0,0,0,0,None,None,None,2003-07-09,,
485865,0,0,0,0,None,None,None,2003-07-09,B,
485866,0,0,0,0,None,None,None,2003-07-08,,
485867,0,1,0,1,2,None,48,2003-07-08,G,Software Industry
485868,0,0,0,0,None,None,None,2003-06-26,,
485869,0,0,0,0,None,None,None,2003-07-07,,
485870,0,0,0,0,None,None,70,2003-07-07,,
485871,0,0,0,0,None,None,None,2003-07-07,F,
485872,0,0,0,0,None,None,None,2003-07-07,E,
485873,1,1,0,0,2,None,44,2003-03-06,H,Consulting
485874,0,0,0,0,0,None,41,2003-07-07,,Consulting
485875,0,0,0,0,2,None,40,2003-07-07,H,BFSI
485876,0,0,0,0,None,None,None,2003-07-07,,
485877,0,0,0,0,0,None,42,2003-07-07,,
485878,0,0,0,0,None,None,None,2003-07-07,,
485880,0,0,0,0,None,None,None,2003-07-07,G,
485881,0,0,0,0,None,None,None,2003-07-07,,
485882,0,0,0,0,None,None,None,2003-07-07,,
485884,0,0,0,0,None,None,None,2003-07-07,,
485885,1,1,0,1,None,None,37,2003-07-07,H,
485886,0,1,0,1,0,None,50,2003-02-08,A,Consulting
485887,0,0,0,0,None,None,None,2003-07-07,,
485888,0,0,0,0,None,None,None,2003-02-08,B,
485890,0,0,0,0,None,None,None,2003-07-07,,
485891,0,0,0,0,None,None,None,2003-07-07,,
485892,1,0,0,0,3,88,70,2003-07-07,B,Others
485893,0,0,0,0,0,None,72,2003-07-07,C,
485894,0,0,0,0,None,None,None,2003-07-07,,
485895,0,0,0,1,1,70,40,2003-07-04,I,Technology
485896,0,0,0,0,None,None,None,2003-07-06,I,
485897,0,0,0,0,None,None,None,2003-07-07,,
485898,0,0,0,0,None,None,None,2003-07-07,,
485899,0,0,0,0,None,None,None,2003-07-06,,
485900,0,0,0,0,None,None,None,2003-07-06,,
485901,0,0,0,0,None,None,None,2003-02-08,,
485902,0,0,0,0,4,None,58,2003-07-06,C,Consulting
485903,0,0,0,0,None,None,None,2003-06-03,,
485907,0,0,0,0,None,None,None,2003-07-06,,
485908,0,0,0,0,None,None,None,2003-07-06,A,
485909,0,1,1,0,1,75,44,2003-07-06,C,Consulting
485910,0,0,0,0,None,None,None,2003-07-06,,
485912,0,0,0,0,None,None,None,2003-07-06,,
485913,0,0,0,0,None,None,None,2003-07-06,,
485914,1,1,1,1,2,None,42,2003-07-06,D,Technology
485915,0,0,0,0,None,None,None,2003-07-06,,
485917,0,0,0,0,None,None,None,2003-07-06,,
485918,0,0,0,0,None,None,None,2003-03-17,B,
485919,0,0,0,0,None,None,None,2003-07-06,H,
485920,0,0,0,0,None,None,None,2003-07-06,B,
485922,0,0,0,0,None,None,None,2003-07-06,,
485923,0,0,0,0,None,None,None,2003-07-06,,
485924,0,0,0,0,None,None,None,2003-07-06,,
485925,0,0,0,0,None,None,None,2003-07-06,H,
485926,0,0,0,0,None,None,71,2003-07-06,G,
485927,0,0,0,0,None,None,None,2003-07-06,,
485928,0,0,0,0,None,None,None,2003-07-04,I,
485929,0,0,0,0,None,None,None,2003-07-06,,
485930,0,0,0,0,None,None,None,2003-07-06,,
485932,0,0,0,0,None,None,None,2003-07-06,F,
485933,0,0,0,0,None,None,None,2003-07-06,C,
485934,0,0,0,0,None,None,None,2003-07-06,,
485935,0,0,0,0,None,None,None,2003-07-06,,
485936,0,0,0,0,None,None,None,2003-07-06,B,
485937,0,0,0,0,None,None,None,2003-07-06,,
485938,0,0,0,0,1,None,43,2003-07-06,D,Health
485940,0,0,0,0,None,None,None,2003-07-06,,
485942,0,0,0,0,None,None,None,2003-07-06,,
485943,0,0,0,0,None,None,None,2003-07-06,,
485944,0,0,0,0,None,None,None,2003-07-06,,
485945,0,0,0,0,None,None,None,2003-07-06,,
485946,0,1,1,1,0,None,41,2003-07-06,G,Others
485947,0,0,0,0,None,None,None,2003-07-06,,
485948,0,0,0,0,None,None,None,2003-07-06,,
485949,0,0,0,0,None,None,None,2003-07-06,B,
485950,0,0,0,0,None,None,None,2003-07-06,,
485951,0,0,0,0,None,None,None,2003-07-06,,
485953,0,0,0,0,None,None,None,2003-07-06,,
485954,0,0,0,0,None,None,None,2003-07-04,,
485955,0,0,0,0,1,82,42,2003-07-04,B,Software Industry
485956,0,0,0,0,None,None,None,2003-02-08,,
485957,0,0,0,0,None,None,None,2003-07-06,,
485958,0,0,0,0,None,None,None,2003-07-06,E,
485959,0,0,0,0,None,None,None,2003-07-06,,
485960,0,0,0,0,None,None,None,2003-07-06,,
485961,0,0,0,0,None,None,None,2003-07-06,,
485962,0,0,0,0,3,64,48,2003-07-06,B,Software Industry
485963,0,0,0,0,None,None,None,2003-07-06,G,
485964,0,0,0,0,None,None,None,2003-07-06,,
485966,0,0,0,0,None,None,None,2003-07-06,I,
485969,0,0,0,0,None,None,None,2003-07-05,,
485970,0,0,0,1,1,70,40,2003-03-06,B,Technology
485971,1,1,0,0,0,None,73,2003-07-05,H,
485972,0,0,0,0,None,None,None,2003-07-05,,
485973,0,0,0,0,None,None,None,2003-07-05,,
485974,0,0,0,0,None,None,None,2003-07-05,C,
485975,0,0,0,0,0,None,None,2003-07-05,G,Technology
485976,0,0,0,0,None,None,None,2003-07-04,,
485977,0,0,0,0,None,None,None,2003-07-04,,
485978,0,0,0,0,None,None,None,2003-07-04,B,
485979,0,0,0,0,None,None,None,2003-07-04,,
485981,0,0,0,0,None,None,None,2003-07-04,C,
485982,1,1,0,1,0,None,47,2003-07-04,E,Technology
485983,0,0,0,0,2,78,40,2003-07-04,B,Others
485984,0,1,0,1,1,87.99333333,39,2003-07-04,C,Others
485985,0,0,0,0,None,None,None,2003-07-04,,
485986,0,0,0,0,4,None,44,2003-07-04,B,Consulting
485988,0,0,0,0,0,None,42,2003-07-04,F,
485989,0,0,0,0,None,None,None,2003-07-01,,
485991,0,0,0,0,2,92,40,2003-07-04,G,Others
485992,0,0,0,0,None,None,None,2003-07-04,,
485993,0,0,0,0,4,77,47,2003-02-08,I,Consulting
485994,0,0,0,0,None,None,None,2003-07-04,,
485995,0,0,0,0,None,None,None,2003-07-04,,
485997,0,0,0,0,None,None,None,2003-02-08,,
485998,0,0,0,0,None,None,None,2003-07-04,,
485999,0,0,0,0,None,None,None,2003-07-04,,
486000,0,0,0,0,0,None,43,2003-07-04,,Others
486001,0,0,0,0,None,None,None,2003-07-04,,
486002,0,0,0,0,None,None,72,2003-07-04,,
486003,0,0,0,0,0,None,41,2003-07-04,D,
486004,0,0,0,0,None,None,None,2003-07-04,,
486005,0,1,0,0,1,None,43,2003-06-21,H,Technology
486006,0,0,0,0,None,None,None,2003-07-04,G,
486007,0,0,0,0,0,80,44,2003-07-04,E,Software Industry
486008,0,0,0,0,None,None,None,2003-07-04,,
486009,0,0,0,0,None,None,None,2003-07-04,,
486010,0,0,0,0,2,None,40,2003-07-04,H,Manufacturing
486011,0,0,0,0,None,None,None,2003-07-04,,
486012,0,0,0,0,None,None,None,2003-07-04,,
486013,0,0,0,0,None,None,None,2003-07-04,D,
486014,0,0,0,0,None,None,None,2003-07-04,,
486015,0,0,0,0,None,None,None,2003-07-04,,
486016,0,1,0,0,1,None,None,2003-07-04,D,Consulting
486018,0,0,0,0,None,None,None,2003-07-04,B,
486019,0,0,0,0,None,None,None,2003-07-04,E,
486020,0,1,0,0,3,None,43,2003-07-04,,
486021,0,0,0,0,None,None,None,2003-07-04,I,
486023,0,0,0,0,None,None,None,2003-07-04,,
486024,1,0,0,0,None,None,73,2003-07-04,H,
486025,0,0,0,0,None,None,None,2003-07-04,,
486026,0,0,0,0,None,None,None,2003-02-08,,
486027,0,0,0,0,None,None,None,2003-07-04,B,
486028,1,0,1,0,6,90.03333333,58,2003-07-04,C,Technology
486029,1,1,1,1,0,None,37,2003-07-03,H,
486030,1,1,0,1,3,None,43,2003-07-04,G,Others
486032,0,0,0,0,2,None,41,2003-06-30,I,
486033,0,0,0,0,None,None,None,2003-05-15,B,
486034,0,0,0,0,None,None,None,2003-07-03,,
486035,0,0,0,0,None,None,None,2003-07-03,,
486037,0,0,0,0,None,None,None,2003-07-03,,
486038,0,0,0,0,None,None,49,2003-07-03,D,
486039,0,0,0,0,None,None,None,2003-07-03,,
486040,0,0,0,0,3,86,47,2003-07-03,B,Software Industry
486041,0,0,0,0,None,None,None,2003-07-03,,
486043,0,0,0,0,None,None,None,2003-07-03,,
486044,0,0,0,0,None,None,None,2003-07-03,,
486045,0,0,0,0,None,None,None,2003-02-08,,
486046,0,0,0,0,None,None,None,2003-06-04,A,
486047,0,0,0,0,None,None,None,2003-03-26,,
486048,0,0,0,0,1,64,63,2002-12-05,B,Others
486050,0,0,0,0,None,None,None,2003-07-03,G,
486051,0,0,0,0,None,None,None,2003-07-03,H,
486052,0,0,0,0,None,None,None,2003-07-03,B,
486053,0,0,0,0,None,None,None,2003-07-03,H,
486054,0,0,0,0,None,None,None,2003-07-02,,
486055,0,0,0,0,None,None,None,2003-07-02,,
486056,0,0,0,0,None,None,None,2003-07-02,,
486057,0,0,0,0,None,None,None,2003-07-02,,
486059,0,0,0,0,None,None,None,2003-06-26,B,
486060,0,0,0,0,None,None,None,2003-07-02,,
486061,0,0,0,0,None,None,None,2003-07-02,,
486063,0,0,0,0,None,None,37,2003-07-02,H,
486064,0,0,0,0,None,None,None,2003-07-02,,
486065,0,0,0,0,5,67,49,2003-07-02,D,Technology
486066,0,0,0,0,None,None,None,2003-07-02,,
486067,0,0,0,0,None,None,None,2003-02-08,E,
486068,0,0,0,0,None,None,None,2003-04-21,,
486070,0,0,0,0,None,None,None,2003-07-01,B,
486071,0,0,0,0,None,None,None,2003-07-01,B,
486072,0,0,0,0,None,None,None,2003-06-30,,
486073,0,0,0,0,None,None,None,2003-04-09,,
486075,0,0,0,0,None,None,None,2003-06-30,,
486076,0,0,0,0,None,None,None,2003-06-29,,
486077,0,0,0,0,1,87,38,2003-06-29,H,
486078,0,0,0,0,None,None,None,2003-06-29,D,
486079,0,0,0,0,None,None,None,2003-06-29,,
486080,1,1,1,1,4,None,49,2003-06-28,I,Technology
486081,0,0,0,0,None,None,None,2003-06-28,H,
486082,0,0,0,0,None,None,None,2003-06-28,,
486083,0,0,0,0,None,None,None,2003-02-08,,
486085,0,0,0,0,None,None,None,2003-06-27,,
486086,0,0,0,0,None,None,None,2003-06-26,B,
486087,0,0,0,0,None,None,None,2003-02-08,,
486088,0,0,0,0,None,None,None,2003-06-27,,
486090,0,0,0,0,None,None,None,2003-06-27,I,
486091,0,0,0,0,None,None,None,2003-06-27,,
486092,0,0,0,0,None,None,None,2003-06-27,,
486093,0,0,0,0,None,None,None,2003-02-08,B,
486094,0,0,0,0,None,None,None,2003-04-03,A,
486095,1,1,1,0,0,None,54,2003-02-08,A,Consulting
486096,0,0,0,0,None,None,None,2003-06-26,,
486098,0,0,0,0,None,None,None,2003-06-05,,
486099,0,0,0,0,None,None,None,2003-03-26,,
486100,0,0,0,0,None,None,None,2003-06-26,B,
486101,0,0,0,0,None,None,None,2003-06-26,,
486102,0,0,0,0,1,None,41,2003-06-26,E,Consulting
486103,0,0,0,0,None,None,None,2003-06-26,,
486104,0,0,0,0,None,None,None,2003-06-26,,
486105,0,0,0,0,None,None,None,2003-06-05,,
486107,0,0,0,0,None,None,None,2003-06-26,,
486108,0,0,0,0,1,None,45,2003-06-26,D,BFSI
486109,0,1,0,0,0,None,42,2003-06-26,B,Retail
486110,0,1,0,0,0,None,44,2003-06-26,D,Consulting
486111,0,0,0,0,None,None,None,2003-06-26,D,
486112,0,0,0,0,None,None,None,2003-06-26,A,
486113,0,0,0,0,None,None,None,2003-06-26,,
486115,0,0,0,0,None,None,None,2003-06-26,,
486116,0,1,0,1,1,None,42,2003-06-26,D,Retail
486117,0,1,0,1,2,86,38,2003-06-26,F,
486118,0,0,0,0,None,None,None,2003-06-19,,
486119,0,0,0,0,1,58,48,2003-06-26,E,
486120,0,0,0,0,None,None,None,2003-06-25,,
486121,0,0,0,0,None,None,None,2003-06-24,I,
486122,0,0,0,0,None,None,None,2003-06-24,C,
486124,0,0,0,0,0,None,61,2003-06-24,H,
486125,0,0,0,0,None,None,None,2003-06-23,B,
486127,0,0,0,0,None,None,None,2003-06-23,,
486128,0,0,0,0,None,None,None,2003-06-18,B,
486129,0,0,0,0,None,None,None,2003-06-21,H,
486130,0,0,0,0,None,None,None,2003-06-22,,
486131,0,0,0,0,5,74,52,2003-05-17,H,Software Industry
486132,0,0,0,0,0,None,None,2003-06-21,G,
486133,0,0,0,0,None,None,None,2003-06-21,,
486134,0,0,0,0,None,None,None,2003-06-18,F,
486135,0,0,0,0,None,None,None,2003-06-20,E,
486136,0,0,0,0,None,None,None,2003-06-19,C,
486138,0,0,0,0,None,None,None,2003-06-19,,
486139,0,0,0,0,2,None,45,2003-06-19,B,Retail
486140,0,0,0,0,None,None,None,2003-06-19,,
486141,0,0,0,0,5,85,52,2003-06-18,C,Software Industry
486144,1,0,0,0,0,None,36,2003-06-18,H,
486146,0,0,0,0,None,None,None,2003-03-06,H,
486147,0,0,0,0,1,90,43,2003-06-18,B,Education
486148,0,0,0,0,None,None,None,2003-06-17,D,
486149,0,0,0,0,None,None,None,2003-06-17,,
486150,0,0,0,0,None,None,None,2003-06-17,B,
486151,0,0,0,0,None,None,None,2003-06-17,,
486153,0,0,0,0,None,None,None,2003-06-16,B,
486154,0,0,0,0,None,None,None,2003-02-08,B,
486155,0,0,0,0,None,None,None,2003-06-15,G,
486156,0,0,0,0,None,None,None,2003-06-14,,
486157,0,0,0,0,3,79,42,2003-06-14,D,Manufacturing
486158,0,0,0,0,None,None,None,2003-06-13,B,
486159,0,0,0,0,None,None,None,2003-06-10,,
486160,0,0,0,0,None,None,None,2003-02-08,,
486161,0,0,0,0,None,None,None,2003-06-11,G,
486163,0,0,0,0,None,None,None,2003-06-10,C,
486164,0,0,0,0,None,None,None,2003-06-10,,
486165,1,1,1,1,2,None,42,2003-06-10,D,Technology
486167,0,0,0,0,None,None,43,2003-02-08,B,
486168,0,0,0,0,None,None,None,2003-06-08,G,
486169,0,0,0,0,None,None,None,2003-06-08,,
486171,0,0,0,0,None,None,None,2003-05-05,,
486172,0,0,0,0,None,None,None,2003-03-06,,
486176,0,0,0,0,None,None,None,2003-06-08,D,
486178,0,1,0,1,1,None,38,2003-06-08,G,Consulting
486179,0,0,0,0,None,None,None,2003-06-08,,
486181,0,0,0,0,None,None,None,2003-06-08,,
486183,0,0,0,0,None,None,None,2003-06-08,,
486184,0,0,0,0,None,None,None,2003-05-01,,
486185,0,0,0,0,None,None,None,2003-06-08,B,
486186,0,0,0,0,None,None,None,2003-06-07,A,
486187,0,0,0,0,None,None,None,2003-06-07,,
486188,0,0,0,0,None,None,None,2003-06-07,,
486189,1,0,0,0,0,None,72,2003-02-08,A,
486190,0,0,0,0,None,None,None,2003-06-07,D,
486192,1,1,0,0,0,None,73,2003-06-04,,
486193,0,0,0,0,None,None,None,2003-06-07,E,
486194,0,0,0,0,None,None,None,2003-06-07,B,
486195,1,0,1,0,1,None,38,2003-06-07,D,Consulting
486196,0,0,0,0,None,None,71,2003-06-07,E,
486197,0,0,0,0,None,None,None,2003-02-08,,
486198,0,0,0,0,None,None,None,2003-06-07,H,
486199,0,0,0,0,None,None,None,2003-06-06,B,
486200,0,0,0,0,None,None,None,2003-06-07,A,
486201,0,1,0,0,0,None,72,2003-06-07,B,
486203,0,0,0,0,None,None,None,2003-06-07,,
486204,0,1,0,0,3,None,50,2003-02-08,G,Retail
486205,0,0,0,0,None,None,None,2003-06-07,,
486207,0,0,0,0,None,None,None,2003-06-07,B,
486208,0,0,0,0,0,None,39,2003-06-07,H,
486210,0,0,0,0,None,None,None,2003-06-07,B,
486211,0,0,0,0,None,None,None,2003-06-07,I,
486212,0,0,0,0,2,96,37,2003-06-06,B,Software Industry
486213,0,0,0,0,0,None,46,2003-06-07,B,
486214,0,0,0,0,None,None,None,2003-06-07,E,
486215,0,0,0,0,1,73,52,2003-06-07,C,Education
486216,0,0,0,0,None,None,None,2003-06-07,,
486217,0,0,0,0,None,None,None,2003-06-07,H,
486218,0,0,0,0,1,None,41,2003-06-07,H,Software Industry
486219,0,0,0,0,3,81,47,2003-06-03,C,Technology
486220,0,0,0,0,None,None,None,2003-06-07,,
486221,1,1,0,0,0,None,41,2003-06-07,,Others
486222,0,0,0,0,None,None,None,2003-06-04,F,
486223,0,0,0,0,None,None,None,2003-06-07,,
486224,0,1,0,1,1,None,42,2003-06-07,H,Education
486226,0,0,0,0,None,None,None,2003-06-07,G,
486227,0,0,0,0,None,None,None,2003-06-07,H,
486228,0,0,0,0,None,None,None,2003-05-05,B,
486229,0,0,0,0,None,None,None,2003-06-07,H,
486230,0,0,0,0,None,None,None,2003-06-04,,
486231,0,0,0,0,None,None,None,2003-06-06,,
486232,0,0,0,0,None,None,None,2003-06-04,H,
486234,0,0,0,0,None,None,None,2003-06-05,E,
486235,0,0,0,0,None,None,None,2003-03-22,E,
486236,0,0,0,0,None,None,None,2003-06-05,,
486237,0,0,0,0,None,None,None,2003-06-03,H,
486238,0,0,0,0,None,None,None,2003-06-04,,
486239,0,0,0,0,None,None,None,2003-06-04,B,
486240,0,0,0,0,None,None,None,2003-06-04,,
486241,0,0,0,0,None,None,None,2003-06-04,G,
486243,0,0,0,0,None,None,None,2003-06-04,B,
486244,0,0,0,0,None,None,None,2003-05-06,,
486245,0,0,0,0,None,None,None,2003-06-04,A,
486246,0,0,0,0,2,72,46,2003-06-04,E,Consulting
486248,0,0,0,0,None,None,None,2003-06-04,,
486249,0,0,0,0,None,None,None,2003-06-04,B,
486250,0,0,0,0,None,None,None,2003-06-04,D,
486251,1,1,1,0,1,51,53,2003-02-08,B,Others
486252,0,0,0,0,None,None,None,2003-06-04,,
486253,0,0,0,0,0,None,43,2003-06-04,G,Consulting
486255,0,0,0,0,None,None,None,2003-06-04,G,
486256,0,0,0,0,None,None,None,2003-06-04,I,
486257,0,0,0,0,None,None,None,2003-05-07,,
486259,0,1,0,0,2,None,52,2003-06-04,D,Technology
486260,0,0,0,0,None,None,None,2003-02-08,B,
486261,0,0,0,0,None,77,40,2003-06-04,G,Education
486262,0,1,0,0,None,None,48,2003-06-04,,
486263,0,0,0,0,None,None,None,2003-05-15,,
486266,0,0,0,0,None,None,None,2003-06-04,B,
486267,1,1,1,1,2,None,51,2003-06-04,C,Others
